Series;Type(V);Display Format;Outline Dimensions(W x H mm);Effective Viewing Area(W x H mm);Character Size(W x H mm);Dot Size(W x H mm);Dot Pitch(W x H mm);Driving Method (Duty);Built-In Controller;Process Color TN;Process Color STN Gray;Process Color STN Yellow;Process Color STN Blue;Process Color STN Color;BL None;BL LED;BL EL;BL CCFL;Image path;Datasheet part;3d model part
LCD-016N002L1;Character;16 x 2 characters;122.0 x 44.0;99.0 x 24.0;4.84 x 9.66;0.92 x 1.10;0.98 x 1.16;1/16;ST 7066 (or equivalent);x;x;x;x;;x;x;x;;37299;Datasheet/displays/LCD-016N002L1\LCD-016N002L1.pdf;
LCD-016N002L1;Character;16 x 2 characters;122.0 x 44.0;99.0 x 24.0;4.84 x 9.66;0.92 x 1.10;0.98 x 1.16;1/16;ST 7066 (or equivalent);x;x;x;x;;x;x;x;;37423;Datasheet/displays/LCD-016N002L1\LCD-016N002L1.pdf;
