Series;Product Image;Type;Description;Technology;Resistance (min)(Ω);Resistance (max)(Ω);TCR Absolute(ppm/°C);TCR Tracking(ppm/°C);Absolute Tolerance(%);Ratio Tolerance(%);Power(W);Package Type;Case (EIA & Mil);Image path;Datasheet part;3d model part
DFP;Enlarge;Resistor Networks;Thick Film Resistor Networks, Flat Pack;Thick Film;10;1 M;100.0;50.0;1.0;;0.15;Flatpack;;image/networks-and-arrays/31513.png;Datasheet\/networks-and-arrays/DFP\DFP.pdf;
DFP;Enlarge;Resistor Networks;Thick Film Resistor Networks, Flat Pack;Thick Film;10;1 M;100.0;50.0;1.0;;0.25;Flatpack;;image/networks-and-arrays/31513.png;Datasheet\/networks-and-arrays/DFP\DFP.pdf;
