Part Number;Product Image;Device Type;Package Type;Package Form;Package Dimensions L x W x H(mm);Peak Wavelength λp(nm);Spectral Bandwidth(1)(nm);Output Current(2)(µA);Angle of Half Sensitivity φ;Photo Sensitive Area(mm2);Image path;Datasheet part;3d model part
BPW24R;Enlarge;Silicon PIN Photodiode, RoHS-Compliant;leaded;TO-18;∅ 4.7;940;610 to 1040;60;12;0.88;image/photo-detectors81520.png;photo-detectors\BPW24R\BPW24R.pdf;None
K857PE;Enlarge;4-Quadrant Silicon PIN Photodiode;surface-mount;Top view;4.72 x 4.72 x 0.75;840;690 to 1050;8.5;85;;image/photo-detectors80136.png;photo-detectors\K857PE\K857PE.pdf;None
K857PH;Enlarge;Silicon PIN Photodiode;surface-mount;Top view;4.72 x 4.72 x 0.75;950;710 to 1100;10;10;;image/photo-detectors80279.png;photo-detectors\K857PH\K857PH.pdf;None
T1070P;Enlarge;Silicon NPN Phototransistor;chip;chip;0.72 x 0.72 x 0.22;570;440 to 800;50;60;0.25;image/photo-detectors81119.png;photo-detectors\T1070P\T1070P.pdf;None
T1090P6;Enlarge;Silicon NPN Phototransistor;chip;chip;0.52 x 0.52 x 0.185;840;620 to 1000;65 to 750;60;;image/photo-detectors84269.png;photo-detectors\T1090P6\T1090P6.pdf;None
T1110P6;Enlarge;Silicon PIN Photodiode;chip;Chip;2.97 x 2.97 x 0.28;940;430 to 1100;55;60;7.5;image/photo-detectors81122.png;photo-detectors\T1110P6\T1110P6.pdf;None
T1112P;Enlarge;Silicon PIN Photodiode;chip;Chip;3.05 x 2.1 x 0.28;970;640 to 1070;44;60;5.5;image/photo-detectors84260.png;photo-detectors\T1112P\T1112P.pdf;None
T1113P;Enlarge;Silicon PIN Photodiode;chip;Chip;2.97 x 2.97 x 0.28;960;660 to 1050;55;60;7.5;image/photo-detectors84261.png;photo-detectors\T1113P\T1113P.pdf;None
T1120P;Enlarge;Silicon PIN Photodiode;chip;Chip;2.37 x 2.37 x 0.28;940;430 to 1100;35;60;4.4;image/photo-detectors81121.png;photo-detectors\T1120P\T1120P.pdf;None
T1170P;Enlarge;Silicon PIN Photodiode;chip;chip;1.17 x 1.17 x 0.28;920;600 to 1040;7;60;0.88;image/photo-detectors84247.png;photo-detectors\T1170P\T1170P.pdf;None
T1172P;Enlarge;Silicon PIN Photodiode;chip;Chip;1.47 x 1.07 x 0.28;960;640 to 1060;8.7;60;1.06;image/photo-detectors84262.png;photo-detectors\T1172P\T1172P.pdf;None
T1180P;Enlarge;Silicon PIN Photodiode;chip;Chip;0.67 x 0.3 x 0.28;810;590 to 1010;0.59;60;0.055;image/photo-detectors84246.png;photo-detectors\T1180P\T1180P.pdf;None
T1187P;Enlarge;Silicon PIN Photodiode;chip;Chip;0.67 x 0.3 x 0.28;800;580 to 1070;0.66;60;0.053;image/photo-detectors84263.png;photo-detectors\T1187P\T1187P.pdf;None
T1610P6;Enlarge;Silicon PIN Photodiode;chip;Chip;2.97 x 2.97 x 0.28;560;390 to 800;2.9;60;7.7;image/photo-detectors80322.png;photo-detectors\T1610P6\T1610P6.pdf;None
T1670P6;Enlarge;Silicon PIN Photodiode;chip;Chip;0.72 x 0.72 x 0.28;560;390 to 800;0.138;60;0.27;image/photo-detectors80323.png;photo-detectors\T1670P6\T1670P6.pdf;None
T1677P;Enlarge;Silicon PIN Photodiode;chip;Chip;0.72 x 0.72 x 0.28;570;430 to 700;0.015;60;0.27;image/photo-detectors84266.png;photo-detectors\T1677P\T1677P.pdf;None
T1678P;Enlarge;Silicon PIN Photodiode;chip;Chip;0.72 x 0.72 x 0.2;570;440 to 700;0.015;60;0.34;image/photo-detectors84265.png;photo-detectors\T1678P\T1678P.pdf;None
T330P6;Enlarge;Silicon PIN Photodiode;chip;Chip;0.67 x 0.67 x 0.28;900;580 to 1040;1.95;60;;image/photo-detectors80006.png;photo-detectors\T330P6\T330P6.pdf;None
T337P6;Enlarge;Silicon PIN Photodiode;chip;Chip;0.67 x 0.67 x 0.28;970;610 to 1080;2.3;60;0.23;image/photo-detectors84259.png;photo-detectors\T337P6\T337P6.pdf;None
T5096P;Enlarge;Silicon NPN Phototransistor;chip;Chip;0.39 x 0.39 x 0.185;910;480 to 1080;;60;;image/photo-detectors84190.png;photo-detectors\T5096P\T5096P.pdf;None
