Part Number;Product Image;Zero or Non-zero crossing;Package;Trigger Current IFTMax.(mA);Blocking Voltage VDRM(V);On-state Current(mA);Static dv / dt;Isolation Voltage VISOVRMS;Ambient Temperature Range(°C);Creepage Min.(mm);Working Voltage VIORM(Vpeak);Safety Standard;Image path;Datasheet part;3d model part
VO2223A;Enlarge;Non-Zero;DIP-8;10;600;1000;;5300;-40 to +85;7.0;890.0;UL, cUL, VDE, FIMKO;image/optocouplers\81924.png;Datasheet\optocouplers\VO2223A\VO2223A.pdf;Datasheet\optocouplers\VO2223A\VO2223A.zip
VO2223A;Enlarge;Non-Zero;SMD-8;10;600;1000;;5300;-40 to +85;7.0;890.0;UL, cUL, VDE, FIMKO;image/optocouplers\81924.png;Datasheet\optocouplers\VO2223A\VO2223A.pdf;Datasheet\optocouplers\VO2223A\VO2223A.zip
