Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size(mm);Image path;Datasheet part;3d model part
T54;Enlarge;Polymer;SMD, molded;SMD, molded;450 µF;30.0;50;;image/capacitors\40212.png;Datasheet\capacitors\T54\T54.pdf;Datasheet\capacitors\T54\T54.zip
T54;Enlarge;Polymer;SMD, molded;SMD, molded;45 µF;63.0;35;;image/capacitors\40212.png;Datasheet\capacitors\T54\T54.pdf;Datasheet\capacitors\T54\T54.zip
T54;Enlarge;Polymer;SMD, molded;SMD, molded;660 µF;16.0;9;;image/capacitors\40212.png;Datasheet\capacitors\T54\T54.pdf;Datasheet\capacitors\T54\T54.zip
T54;Enlarge;Polymer;SMD, molded;SMD, molded;450 µF;35.0;34;;image/capacitors\40212.png;Datasheet\capacitors\T54\T54.pdf;Datasheet\capacitors\T54\T54.zip
T54;Enlarge;Polymer;SMD, molded;SMD, molded;470 µF;16.0;25;;image/capacitors\40212.png;Datasheet\capacitors\T54\T54.pdf;Datasheet\capacitors\T54\T54.zip
T54;Enlarge;Polymer;SMD, molded;SMD, molded;140 µF;50.0;35;;image/capacitors\40212.png;Datasheet\capacitors\T54\T54.pdf;Datasheet\capacitors\T54\T54.zip
T54;Enlarge;Polymer;SMD, molded;SMD, molded;22 µF;63.0;100;;image/capacitors\40212.png;Datasheet\capacitors\T54\T54.pdf;Datasheet\capacitors\T54\T54.zip
T54;Enlarge;Polymer;SMD, molded;SMD, molded;190 µF;35.0;14;;image/capacitors\40212.png;Datasheet\capacitors\T54\T54.pdf;Datasheet\capacitors\T54\T54.zip
T54;Enlarge;Polymer;SMD, molded;SMD, molded;66 µF;75.0;35;;image/capacitors\40212.png;Datasheet\capacitors\T54\T54.pdf;Datasheet\capacitors\T54\T54.zip
T54;Enlarge;Polymer;SMD, molded;SMD, molded;1.9 mF;16.0;5;;image/capacitors\40212.png;Datasheet\capacitors\T54\T54.pdf;Datasheet\capacitors\T54\T54.zip
