Series;Product Image;IT(AV)(A);TC(°C);IT(RMS)(A);VDRM/VRRM(V);ITSMat 50 Hz(A);ITSMat 60 Hz(A);VTMat ITM(V at A);TJ(°C);dV/dt(V/µs);Package;Circuit Configuration;Image path;Datasheet part;3d model part
VS-ST280CH Series;Enlarge;;180.0;;400;;;1.35 at 1000;-40 to +150;500.0;A-PUK (TO-200AB);Single SCR;image/thyristors\94401.png;Datasheet\thyristors\VS-ST280CH Series\VS-ST280CH Series.pdf;
VS-ST280CH Series;Enlarge;;180.0;;600;;;1.35 at 1000;-40 to +150;500.0;A-PUK (TO-200AB);Single SCR;image/thyristors\94401.png;Datasheet\thyristors\VS-ST280CH Series\VS-ST280CH Series.pdf;
