Part Number;Configuration;SingleSupplyMin.;SingleSupplyMax.;DualSupplyMin.;DualSupplyMax.;On-Resistance(Ω);Is(off)Max.;tonMax.;QINJTyp.;XTALK&OIRR;Package;CS(on)(pF);CS(off)(pF);-3 dBBandwidth(MHz);Image path;Datasheet part;3d model part
DG333AL;SPDT x 4;5.0;36.0;5.0;22.0;25.0;0.25;175.0;10.0;-72.0;TSSOP-20;12.0;8.0;;70803;Datasheet//analog-switches/DG333AL\DG333AL.pdf;
DG333AL;SPDT x 4;5.0;36.0;5.0;22.0;25.0;0.25;175.0;10.0;-72.0;SO-20 (wide);12.0;8.0;;70803;Datasheet//analog-switches/DG333AL\DG333AL.pdf;
