Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size(mm);Image path;Datasheet part;3d model part
T27;Enlarge;Polymer;;;33 µF;50.0;100;7.0 x 7.0 x 7.2 (D);image/capacitors\40277.png;Datasheet\capacitors\T27\T27.pdf;Datasheet\capacitors\T27\T27.zip
T27;Enlarge;Polymer;;;470 µF;16.0;25;7.0 x 7.0 x 7.2 (D);image/capacitors\40277.png;Datasheet\capacitors\T27\T27.pdf;Datasheet\capacitors\T27\T27.zip
T27;Enlarge;Polymer;;;22 µF;75.0;100;7.0 x 7.0 x 7.2 (D);image/capacitors\40277.png;Datasheet\capacitors\T27\T27.pdf;Datasheet\capacitors\T27\T27.zip
T27;Enlarge;Polymer;;;47 µF;50.0;100;7.0 x 7.0 x 7.2 (D);image/capacitors\40277.png;Datasheet\capacitors\T27\T27.pdf;Datasheet\capacitors\T27\T27.zip
T27;Enlarge;Polymer;;;220 µF;25.0;55;7.0 x 7.0 x 7.2 (D);image/capacitors\40277.png;Datasheet\capacitors\T27\T27.pdf;Datasheet\capacitors\T27\T27.zip
T27;Enlarge;Polymer;;;15 µF;63.0;100;7.0 x 7.0 x 7.2 (D);image/capacitors\40277.png;Datasheet\capacitors\T27\T27.pdf;Datasheet\capacitors\T27\T27.zip
T27;Enlarge;Polymer;;;47 µF;35.0;70;7.0 x 7.0 x 7.2 (D);image/capacitors\40277.png;Datasheet\capacitors\T27\T27.pdf;Datasheet\capacitors\T27\T27.zip
T27;Enlarge;Polymer;;;22 µF;63.0;100;7.0 x 7.0 x 7.2 (D);image/capacitors\40277.png;Datasheet\capacitors\T27\T27.pdf;Datasheet\capacitors\T27\T27.zip
T27;Enlarge;Polymer;;;150 µF;35.0;100;7.0 x 7.0 x 7.2 (D);image/capacitors\40277.png;Datasheet\capacitors\T27\T27.pdf;Datasheet\capacitors\T27\T27.zip
T27;Enlarge;Polymer;;;33 µF;63.0;100;7.0 x 7.0 x 7.2 (D);image/capacitors\40277.png;Datasheet\capacitors\T27\T27.pdf;Datasheet\capacitors\T27\T27.zip
T27;Enlarge;Polymer;;;22 µF;50.0;100;7.0 x 7.0 x 7.2 (D);image/capacitors\40277.png;Datasheet\capacitors\T27\T27.pdf;Datasheet\capacitors\T27\T27.zip
T27;Enlarge;Polymer;;;330 µF;16.0;25;7.0 x 7.0 x 7.2 (D);image/capacitors\40277.png;Datasheet\capacitors\T27\T27.pdf;Datasheet\capacitors\T27\T27.zip
T27;Enlarge;Polymer;;;15 µF;75.0;100;7.0 x 7.0 x 7.2 (D);image/capacitors\40277.png;Datasheet\capacitors\T27\T27.pdf;Datasheet\capacitors\T27\T27.zip
