Series;Product Image;Description;Mounting;Resistance at 25 °C(Ω);R25Tolerance(±%);B25/85(K);B25/85Tolerance(±%);Operating Temperature Range(°C);Image path;Datasheet part;3d model part
NTCALUG02A Series;Enlarge;NTC Thermistors, Low Thermal Gradient Lug Sensors;assembly screw mounting;4700.0;2.0;3984.0;0.5;-55 to +125;image/thermistors\29094.png;Datasheet\thermistors\NTCALUG02A Series\NTCALUG02A Series.pdf;Datasheet\thermistors\NTCALUG02A Series\NTCALUG02A Series.zip
NTCALUG02A Series;Enlarge;NTC Thermistors, Low Thermal Gradient Lug Sensors;assembly screw mounting;4700.0;1.0;3984.0;0.5;-55 to +125;image/thermistors\29094.png;Datasheet\thermistors\NTCALUG02A Series\NTCALUG02A Series.pdf;Datasheet\thermistors\NTCALUG02A Series\NTCALUG02A Series.zip
NTCALUG02A Series;Enlarge;NTC Thermistors, Low Thermal Gradient Lug Sensors;assembly screw mounting;5000.0;2.0;3984.0;0.5;-55 to +125;image/thermistors\29094.png;Datasheet\thermistors\NTCALUG02A Series\NTCALUG02A Series.pdf;Datasheet\thermistors\NTCALUG02A Series\NTCALUG02A Series.zip
NTCALUG02A Series;Enlarge;NTC Thermistors, Low Thermal Gradient Lug Sensors;assembly screw mounting;10000.0;2.0;3984.0;0.5;-55 to +125;image/thermistors\29094.png;Datasheet\thermistors\NTCALUG02A Series\NTCALUG02A Series.pdf;Datasheet\thermistors\NTCALUG02A Series\NTCALUG02A Series.zip
NTCALUG02A Series;Enlarge;NTC Thermistors, Low Thermal Gradient Lug Sensors;assembly screw mounting;10000.0;1.0;3984.0;0.5;-55 to +125;image/thermistors\29094.png;Datasheet\thermistors\NTCALUG02A Series\NTCALUG02A Series.pdf;Datasheet\thermistors\NTCALUG02A Series\NTCALUG02A Series.zip
NTCALUG02A Series;Enlarge;NTC Thermistors, Low Thermal Gradient Lug Sensors;assembly screw mounting;10000.0;1.0;3435.0;1.0;-55 to +125;image/thermistors\29094.png;Datasheet\thermistors\NTCALUG02A Series\NTCALUG02A Series.pdf;Datasheet\thermistors\NTCALUG02A Series\NTCALUG02A Series.zip
NTCALUG02A Series;Enlarge;NTC Thermistors, Low Thermal Gradient Lug Sensors;assembly screw mounting;100000.0;3.0;4190.0;1.5;-55 to +125;image/thermistors\29094.png;Datasheet\thermistors\NTCALUG02A Series\NTCALUG02A Series.pdf;Datasheet\thermistors\NTCALUG02A Series\NTCALUG02A Series.zip
