Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size (mm)(mm);Image path;Datasheet part;3d model part
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;6.3;2900.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;1 µF;20.0;16500.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;68 µF;2.5;1700.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;10.0;1700.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;2.2 µF;25.0;6600.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;16.0;3300.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;2.5;1800.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;10.0;2900.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;0.33 µF;25.0;26400.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;100 µF;4.0;1100.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;1 µF;35.0;16500.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;68 µF;6.3;1700.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;3.3 µF;20.0;7700.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;33 µF;4.0;1800.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;3.3 µF;16.0;4000.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;6.3;1700.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;1 µF;20.0;8800.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;100 µF;2.5;1100.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;1.5 µF;16.0;8800.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;3.3 µF;25.0;4000.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;16.0;2800.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;33 µF;2.5;1800.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;10.0;2800.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;0.47 µF;25.0;22000.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;150 µF;4.0;1100.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;1 µF;35.0;8800.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;100 µF;6.3;1100.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;3.3 µF;20.0;4000.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;33 µF;4.0;1700.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;16.0;4000.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;25.0;4000.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;33 µF;6.3;2900.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;1.5 µF;20.0;16500.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;150 µF;2.5;1100.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;2.2 µF;16.0;7700.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;16.0;2800.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;33 µF;2.5;1700.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;10.0;2900.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;0.68 µF;25.0;19800.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;220 µF;4.0;1100.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;1.5 µF;35.0;8800.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;10.0;4000.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;20.0;4000.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;4.0;1800.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;16.0;4000.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;0.1 µF;35.0;40000.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;33 µF;6.3;1700.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;1.5 µF;20.0;8800.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;220 µF;2.5;1100.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;2.2 µF;16.0;6600.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
