Series;Product Image;Configuration;Package;Ch;VDS(V);VGS(V);RDS(on)@1.2V(Ω);RDS(on)1.5V(Ω);RDS(on)@1.8V(Ω);RDS(on)@2.5V(Ω);RDS(on)@3V(Ω);RDS(on)@4.5V(Ω);RDS(on)@6V(Ω);RDS(on)@7.5V(Ω);RDS(on)@10V(Ω);Qg@4.5V(nC);Qg@10V(nC);Qgs(nC);Qgd(nC);IDMax.(A);PDMax.(W);VGS(th)Min.(V);RgTyp.(Ω);Image path;Datasheet part;3d model part
2N7002K;Enlarge;Single;SOT-23;N;60;20;;;;;;4;;;2;0.4;;;;0.3;0.35;1;;image/mosfets/71333.png;Datasheet/mosfets/2N7002K/2N7002K.pdf;Datasheet/mosfets/2N7002K/2N7002K.zip
IRF510;Enlarge;Single;TO-220AB;N;100;20;;;;;;;;;0.54;;8.3;2.3;3.8;5.6;43;2;;image/mosfets/91015.png;Datasheet/mosfets/IRF510/IRF510.pdf;None
IRF510S, SiHF510S;Enlarge;Single;D2PAK (TO-263);N;100;20;;;;;;;;;0.54;;8.3;2.3;3.8;5.6;43;2;;image/mosfets/91016.png;Datasheet/mosfets/IRF510S, SiHF510S/IRF510S, SiHF510S.pdf;None
IRF520;Enlarge;Single;TO-220AB;N;100;20;;;;;;;;;0.27;;16;4.4;7.7;9.2;60;2;;image/mosfets/91017.png;Datasheet/mosfets/IRF520/IRF520.pdf;None
IRF520S, SiHF520S;Enlarge;Single;D2PAK (TO-263);N;100;20;;;;;;;;;0.27;;16;4.4;7.7;9.2;60;2;;image/mosfets/91018.png;Datasheet/mosfets/IRF520S, SiHF520S/IRF520S, SiHF520S.pdf;None
IRF530;Enlarge;Single;TO-220AB;N;100;20;;;;;;;;;0.16;;26;5.5;11;14;88;2;;image/mosfets/91019.png;Datasheet/mosfets/IRF530/IRF530.pdf;None
IRF530S, SiHF530S;Enlarge;Single;D2PAK (TO-263);N;100;20;;;;;;;;;0.16;;26;5.5;11;14;88;2;;image/mosfets/91020.png;Datasheet/mosfets/IRF530S, SiHF530S/IRF530S, SiHF530S.pdf;None
IRF540;Enlarge;Single;TO-220AB;N;100;20;;;;;;;;;0.077;;72;11;32;28;150;2;;image/mosfets/91021.png;Datasheet/mosfets/IRF540/IRF540.pdf;None
IRF540S, SiHF540S;Enlarge;Single;D2PAK (TO-263);N;100;20;;;;;;;;;0.077;;72;11;32;28;150;2;;image/mosfets/91022.png;Datasheet/mosfets/IRF540S, SiHF540S/IRF540S, SiHF540S.pdf;None
IRF610;Enlarge;Single;TO-220AB;N;200;20;;;;;;;;;1.5;;8.2;1.8;4.5;3.3;36;2;;image/mosfets/91023.png;Datasheet/mosfets/IRF610/IRF610.pdf;None
IRF610S, SiHF610S, IRF610L, SiHF610L;Enlarge;Single;D2PAK (TO-263);N;200;20;;;;;;;;;1.5;;8.2;1.8;4.5;3.3;36;2;;image/mosfets/91024.png;Datasheet/mosfets/IRF610S, SiHF610S, IRF610L, SiHF610L/IRF610S, SiHF610S, IRF610L, SiHF610L.pdf;None
IRF620;Enlarge;Single;TO-220AB;N;200;20;;;;;;;;;0.8;;14;3;7.9;5.2;50;2;;image/mosfets/91027.png;Datasheet/mosfets/IRF620/IRF620.pdf;None
IRF620S, SiHF620S;Enlarge;Single;D2PAK (TO-263);N;200;20;;;;;;;;;0.8;;14;3;7.9;5.2;50;2;;image/mosfets/91028.png;Datasheet/mosfets/IRF620S, SiHF620S/IRF620S, SiHF620S.pdf;None
IRF630;Enlarge;Single;TO-220AB;N;200;20;;;;;;;;;0.4;;43;7;23;9;74;2;;image/mosfets/91031.png;Datasheet/mosfets/IRF630/IRF630.pdf;None
IRF630S, SiHF630S;Enlarge;Single;D2PAK (TO-263);N;200;20;;;;;;;;;0.4;;43;7;23;9;74;2;;image/mosfets/91032.png;Datasheet/mosfets/IRF630S, SiHF630S/IRF630S, SiHF630S.pdf;None
IRF634;Enlarge;Single;TO-220AB;N;250;20;;;;;;;;;0.45;;41;6.5;22;8.1;74;2;;image/mosfets/91034.png;Datasheet/mosfets/IRF634/IRF634.pdf;None
IRF634S, SiHF634S;Enlarge;Single;D2PAK (TO-263);N;250;20;;;;;;;;;0.45;;41;6.5;22;8.1;74;2;;image/mosfets/91035.png;Datasheet/mosfets/IRF634S, SiHF634S/IRF634S, SiHF634S.pdf;None
IRF640, SiHF640;Enlarge;Single;TO-220AB;N;200;20;;;;;;;;;0.18;;70;13;39;18;125;2;;image/mosfets/91036.png;Datasheet/mosfets/IRF640, SiHF640/IRF640, SiHF640.pdf;None
IRF640S, SiHF640S, SiHF640L;Enlarge;Single;D2PAK (TO-263);N;200;20;;;;;;;;;0.18;;70;13;39;18;130;2;;image/mosfets/91037.png;Datasheet/mosfets/IRF640S, SiHF640S, SiHF640L/IRF640S, SiHF640S, SiHF640L.pdf;None
IRF640S, SiHF640S, SiHF640L;Enlarge;Single;I2PAK (TO-262);N;200;20;;;;;;;;;0.18;;70;13;39;18;130;2;;image/mosfets/91037.png;Datasheet/mosfets/IRF640S, SiHF640S, SiHF640L/IRF640S, SiHF640S, SiHF640L.pdf;None
IRF644;Enlarge;Single;TO-220AB;N;250;20;;;;;;;;;0.28;;68;11;35;14;125;2;;image/mosfets/91039.png;Datasheet/mosfets/IRF644/IRF644.pdf;None
IRF644S, SiHF644S;Enlarge;Single;D2PAK (TO-263);N;250;20;;;;;;;;;0.28;;68;11;35;14;125;2;;image/mosfets/91040.png;Datasheet/mosfets/IRF644S, SiHF644S/IRF644S, SiHF644S.pdf;None
IRF710;Enlarge;Single;TO-220AB;N;400;20;;;;;;;;;3.6;;17;3.4;8.5;2;36;2;;image/mosfets/91041.png;Datasheet/mosfets/IRF710/IRF710.pdf;None
IRF710S, SiHF710S;Enlarge;Single;D2PAK (TO-263);N;400;20;;;;;;;;;3.6;;17;3.4;8.5;2;36;2;;image/mosfets/91042.png;Datasheet/mosfets/IRF710S, SiHF710S/IRF710S, SiHF710S.pdf;None
IRF720;Enlarge;Single;TO-220AB;N;400;20;;;;;;;;;1.8;;20;3.3;11;3.3;50;2;;image/mosfets/91043.png;Datasheet/mosfets/IRF720/IRF720.pdf;None
IRF720S, SiHF720S, IRF720L, SiHF720L;Enlarge;Single;I2PAK (TO-262);N;400;20;;;;;;;;;1.8;;20;3.3;11;3.3;50;2;;image/mosfets/91044.png;Datasheet/mosfets/IRF720S, SiHF720S, IRF720L, SiHF720L/IRF720S, SiHF720S, IRF720L, SiHF720L.pdf;None
IRF720S, SiHF720S, IRF720L, SiHF720L;Enlarge;Single;D2PAK (TO-263);N;400;20;;;;;;;;;1.8;;20;3.3;11;3.3;50;2;;image/mosfets/91044.png;Datasheet/mosfets/IRF720S, SiHF720S, IRF720L, SiHF720L/IRF720S, SiHF720S, IRF720L, SiHF720L.pdf;None
IRF730;Enlarge;Single;TO-220AB;N;400;20;;;;;;;;;1;;38;5.7;22;5.5;74;2;;image/mosfets/91047.png;Datasheet/mosfets/IRF730/IRF730.pdf;None
IRF730A;Enlarge;Single;TO-220AB;N;400;30;;;;;;;;;1;;22;5.8;9.3;5.5;74;2;;image/mosfets/91045.png;Datasheet/mosfets/IRF730A/IRF730A.pdf;None
IRF730AS, SiHF730AS, IRF730AL, SiHF730AL;Enlarge;Single;I2PAK (TO-262);N;400;30;;;;;;;;;1;;22;5.8;9.3;5.5;74;2;;image/mosfets/91046.png;Datasheet/mosfets/IRF730AS, SiHF730AS, IRF730AL, SiHF730AL/IRF730AS, SiHF730AS, IRF730AL, SiHF730AL.pdf;None
IRF730AS, SiHF730AS, IRF730AL, SiHF730AL;Enlarge;Single;D2PAK (TO-263);N;400;30;;;;;;;;;1;;22;5.8;9.3;5.5;74;2;;image/mosfets/91046.png;Datasheet/mosfets/IRF730AS, SiHF730AS, IRF730AL, SiHF730AL/IRF730AS, SiHF730AS, IRF730AL, SiHF730AL.pdf;None
IRF730S, SiHF730S;Enlarge;Single;D2PAK (TO-263);N;400;20;;;;;;;;;1;;38;5.7;22;5.5;74;2;;image/mosfets/91048.png;Datasheet/mosfets/IRF730S, SiHF730S/IRF730S, SiHF730S.pdf;None
IRF740;Enlarge;Single;TO-220AB;N;400;20;;;;;;;;;0.55;;63;9;32;10;125;2;;image/mosfets/91054.png;Datasheet/mosfets/IRF740/IRF740.pdf;None
IRF740A;Enlarge;Single;TO-220AB;N;400;30;;;;;;;;;0.55;;36;9.9;16;10;125;2;;image/mosfets/91051.png;Datasheet/mosfets/IRF740A/IRF740A.pdf;None
IRF740AS, SiHF740AS, IRF740AL, SiHF740AL;Enlarge;Single;I2PAK (TO-262);N;400;30;;;;;;;;;0.55;;36;9.9;16;10;3.1;2;;image/mosfets/91052.png;Datasheet/mosfets/IRF740AS, SiHF740AS, IRF740AL, SiHF740AL/IRF740AS, SiHF740AS, IRF740AL, SiHF740AL.pdf;None
IRF740AS, SiHF740AS, IRF740AL, SiHF740AL;Enlarge;Single;D2PAK (TO-263);N;400;30;;;;;;;;;0.55;;36;9.9;16;10;3.1;2;;image/mosfets/91052.png;Datasheet/mosfets/IRF740AS, SiHF740AS, IRF740AL, SiHF740AL/IRF740AS, SiHF740AS, IRF740AL, SiHF740AL.pdf;None
IRF740LC;Enlarge;Single;TO-220AB;N;400;30;;;;;;;;;0.55;;39;10;19;10;125;2;;image/mosfets/91053.png;Datasheet/mosfets/IRF740LC/IRF740LC.pdf;None
IRF740S, SiHF740S;Enlarge;Single;D2PAK (TO-263);N;400;20;;;;;;;;;0.55;;63;9;32;10;125;2;;image/mosfets/91055.png;Datasheet/mosfets/IRF740S, SiHF740S/IRF740S, SiHF740S.pdf;None
IRF820;Enlarge;Single;TO-220AB;N;500;20;;;;;;;;;3;;24;3.3;13;2.5;50;2;;image/mosfets/91059.png;Datasheet/mosfets/IRF820/IRF820.pdf;None
IRF820A;Enlarge;Single;TO-220AB;N;500;30;;;;;;;;;3;;17;4.3;8.5;2.5;50;2;;image/mosfets/91057.png;Datasheet/mosfets/IRF820A/IRF820A.pdf;None
IRF820AS, SiHF820AS, IRF820AL, SiHF820AL;Enlarge;Single;D2PAK (TO-263);N;500;30;;;;;;;;;3;;17;4.3;8.5;2.5;50;2;;image/mosfets/91058.png;Datasheet/mosfets/IRF820AS, SiHF820AS, IRF820AL, SiHF820AL/IRF820AS, SiHF820AS, IRF820AL, SiHF820AL.pdf;None
IRF820AS, SiHF820AS, IRF820AL, SiHF820AL;Enlarge;Single;I2PAK (TO-262);N;500;30;;;;;;;;;3;;17;4.3;8.5;2.5;50;2;;image/mosfets/91058.png;Datasheet/mosfets/IRF820AS, SiHF820AS, IRF820AL, SiHF820AL/IRF820AS, SiHF820AS, IRF820AL, SiHF820AL.pdf;None
IRF830;Enlarge;Single;TO-220AB;N;500;20;;;;;;;;;1.5;;38;5;22;4.5;74;2;;image/mosfets/91063.png;Datasheet/mosfets/IRF830/IRF830.pdf;None
IRF830A;Enlarge;Single;TO-220AB;N;500;30;;;;;;;;;1.4;;24;6.3;11;5;74;2;;image/mosfets/91061.png;Datasheet/mosfets/IRF830A/IRF830A.pdf;None
IRF830AS, IRF830AL, SiHF830AS, SiHF830AL;Enlarge;Single;I2PAK (TO-262);N;500;30;;;;;;;;;1.4;;24;6.3;11;5;3.1;2;;image/mosfets/91062.png;Datasheet/mosfets/IRF830AS, IRF830AL, SiHF830AS, SiHF830AL/IRF830AS, IRF830AL, SiHF830AS, SiHF830AL.pdf;None
IRF830AS, IRF830AL, SiHF830AS, SiHF830AL;Enlarge;Single;D2PAK (TO-263);N;500;30;;;;;;;;;1.4;;24;6.3;11;5;3.1;2;;image/mosfets/91062.png;Datasheet/mosfets/IRF830AS, IRF830AL, SiHF830AS, SiHF830AL/IRF830AS, IRF830AL, SiHF830AS, SiHF830AL.pdf;None
IRF830S, SiHF830S, IRF830L, SiHF830L;Enlarge;Single;D2PAK (TO-263);N;500;20;;;;;;;;;1.5;;38;5;22;4.5;74;2;;image/mosfets/91064.png;Datasheet/mosfets/IRF830S, SiHF830S, IRF830L, SiHF830L/IRF830S, SiHF830S, IRF830L, SiHF830L.pdf;None
IRF830S, SiHF830S, IRF830L, SiHF830L;Enlarge;Single;I2PAK (TO-262);N;500;20;;;;;;;;;1.5;;38;5;22;4.5;74;2;;image/mosfets/91064.png;Datasheet/mosfets/IRF830S, SiHF830S, IRF830L, SiHF830L/IRF830S, SiHF830S, IRF830L, SiHF830L.pdf;None
IRF840A;Enlarge;Single;TO-220AB;N;500;30;;;;;;;;;0.85;;38;9;18;8;125;2;;image/mosfets/91065.png;Datasheet/mosfets/IRF840A/IRF840A.pdf;None
IRF840AS, SiHF840AS, IRF840AL, SiHF840AL;Enlarge;Single;I2PAK (TO-262);N;500;30;;;;;;;;;0.85;;38;9;18;8;125;2;;image/mosfets/91066.png;Datasheet/mosfets/IRF840AS, SiHF840AS, IRF840AL, SiHF840AL/IRF840AS, SiHF840AS, IRF840AL, SiHF840AL.pdf;None
IRF840AS, SiHF840AS, IRF840AL, SiHF840AL;Enlarge;Single;D2PAK (TO-263);N;500;30;;;;;;;;;0.85;;38;9;18;8;125;2;;image/mosfets/91066.png;Datasheet/mosfets/IRF840AS, SiHF840AS, IRF840AL, SiHF840AL/IRF840AS, SiHF840AS, IRF840AL, SiHF840AL.pdf;None
IRF840L, SiHF840L;Enlarge;Single;I2PAK (TO-262);N;500;20;;;;;;;;;0.85;;63;9.3;32;8;125;2;;image/mosfets/91069.png;Datasheet/mosfets/IRF840L, SiHF840L/IRF840L, SiHF840L.pdf;None
IRF840LC;Enlarge;Single;TO-220AB;N;500;30;;;;;;;;;0.85;;39;10;19;8;125;2;;image/mosfets/91067.png;Datasheet/mosfets/IRF840LC/IRF840LC.pdf;None
IRF840LCS, IRF840LCL, SiHF840LCS,  SiHF840LCL;Enlarge;Single;D2PAK (TO-263);N;500;30;;;;;;;;;0.85;;39;10;19;8;125;2;;image/mosfets/91068.png;Datasheet/mosfets/IRF840LCS, IRF840LCL, SiHF840LCS,  SiHF840LCL/IRF840LCS, IRF840LCL, SiHF840LCS,  SiHF840LCL.pdf;None
IRF840LCS, IRF840LCL, SiHF840LCS,  SiHF840LCL;Enlarge;Single;I2PAK (TO-262);N;500;30;;;;;;;;;0.85;;39;10;19;8;125;2;;image/mosfets/91068.png;Datasheet/mosfets/IRF840LCS, IRF840LCL, SiHF840LCS,  SiHF840LCL/IRF840LCS, IRF840LCL, SiHF840LCS,  SiHF840LCL.pdf;None
IRF840S, SiHF840S;Enlarge;Single;D2PAK (TO-263);N;500;20;;;;;;;;;0.85;;63;9.3;32;8;125;2;;image/mosfets/91071.png;Datasheet/mosfets/IRF840S, SiHF840S/IRF840S, SiHF840S.pdf;None
IRF9510;Enlarge;Single;TO-220AB;P;-100;20;;;;;;;;;1.2;;8.7;2.2;4.1;-4;43;-2;;image/mosfets/91072.png;Datasheet/mosfets/IRF9510/IRF9510.pdf;None
IRF9510S, SiHF9510S;Enlarge;Single;D2PAK (TO-263);P;-100;20;;;;;;;;;1.2;;8.7;2.2;4.1;-4;43;-2;;image/mosfets/91073.png;Datasheet/mosfets/IRF9510S, SiHF9510S/IRF9510S, SiHF9510S.pdf;None
IRF9520;Enlarge;Single;TO-220AB;P;-100;20;;;;;;;;;0.6;;18;3;9;-6.8;60;-2;;image/mosfets/91074.png;Datasheet/mosfets/IRF9520/IRF9520.pdf;None
IRF9520S, SiHF9520S;Enlarge;Single;D2PAK (TO-263);P;-100;20;;;;;;;;;0.6;;18;3;9;-6.8;60;-2;;image/mosfets/91075.png;Datasheet/mosfets/IRF9520S, SiHF9520S/IRF9520S, SiHF9520S.pdf;None
IRF9530;Enlarge;Single;TO-220AB;P;-100;20;;;;;;;;;0.3;;38;6.8;21;-12;88;-2;;image/mosfets/91076.png;Datasheet/mosfets/IRF9530/IRF9530.pdf;None
IRF9530S, SiHF9530S;Enlarge;Single;D2PAK (TO-263);P;-100;20;;;;;;;;;0.3;;38;6.8;21;-12;88;-2;;image/mosfets/91077.png;Datasheet/mosfets/IRF9530S, SiHF9530S/IRF9530S, SiHF9530S.pdf;None
IRF9540;Enlarge;Single;TO-220AB;P;-100;20;;;;;;;;;0.2;;61;14;29;-19;150;-2;;image/mosfets/91078.png;Datasheet/mosfets/IRF9540/IRF9540.pdf;None
IRF9540S, SiHF9540S;Enlarge;Single;D2PAK (TO-263);P;-100;20;;;;;;;;;0.2;;61;14;29;-19;150;-2;;image/mosfets/91079.png;Datasheet/mosfets/IRF9540S, SiHF9540S/IRF9540S, SiHF9540S.pdf;None
IRF9610;Enlarge;Single;TO-220AB;P;-200;20;;;;;;;;;3;;11;7;4;-1.8;20;-2;;image/mosfets/91080.png;Datasheet/mosfets/IRF9610/IRF9610.pdf;None
IRF9610S, SiHF9610S;Enlarge;Single;D2PAK (TO-263);P;-200;20;;;;;;;;;3;;11;7;4;-1.8;20;-2;;image/mosfets/91081.png;Datasheet/mosfets/IRF9610S, SiHF9610S/IRF9610S, SiHF9610S.pdf;None
IRF9620;Enlarge;Single;TO-220AB;P;-200;20;;;;;;;;;1.5;;22;12;10;-3.5;40;-2;;image/mosfets/91082.png;Datasheet/mosfets/IRF9620/IRF9620.pdf;None
IRF9620S, SiHF9620S;Enlarge;Single;D2PAK (TO-263);P;-200;20;;;;;;;;;1.5;;22;12;10;-3.5;40;-2;;image/mosfets/91083.png;Datasheet/mosfets/IRF9620S, SiHF9620S/IRF9620S, SiHF9620S.pdf;None
IRF9630;Enlarge;Single;TO-220AB;P;-200;20;;;;;;;;;0.8;;29;5.4;15;-6.5;74;-2;;image/mosfets/91084.png;Datasheet/mosfets/IRF9630/IRF9630.pdf;None
IRF9630S, SiHF9630S;Enlarge;Single;D2PAK (TO-263);P;-200;20;;;;;;;;;0.8;;29;5.4;15;-6.5;74;-2;;image/mosfets/91085.png;Datasheet/mosfets/IRF9630S, SiHF9630S/IRF9630S, SiHF9630S.pdf;None
IRF9640;Enlarge;Single;TO-220AB;P;-200;20;;;;;;;;;0.5;;44;7.1;27;-11;125;-2;;image/mosfets/91086.png;Datasheet/mosfets/IRF9640/IRF9640.pdf;None
IRF9640S, SiHF9640S, IRF9640L, SiHF9640L;Enlarge;Single;I2PAK (TO-262);P;-200;20;;;;;;;;;0.5;;44;7.1;27;-11;125;-2;;image/mosfets/91087.png;Datasheet/mosfets/IRF9640S, SiHF9640S, IRF9640L, SiHF9640L/IRF9640S, SiHF9640S, IRF9640L, SiHF9640L.pdf;None
IRF9640S, SiHF9640S, IRF9640L, SiHF9640L;Enlarge;Single;D2PAK (TO-263);P;-200;20;;;;;;;;;0.5;;44;7.1;27;-11;125;-2;;image/mosfets/91087.png;Datasheet/mosfets/IRF9640S, SiHF9640S, IRF9640L, SiHF9640L/IRF9640S, SiHF9640S, IRF9640L, SiHF9640L.pdf;None
IRF9Z10;Enlarge;Single;TO-220AB;P;-60;20;;;;;;;;;0.5;;12;3.8;5.1;-6.7;43;-2;;image/mosfets/90118.png;Datasheet/mosfets/IRF9Z10/IRF9Z10.pdf;None
IRF9Z14;Enlarge;Single;TO-220AB;P;-60;20;;;;;;;;;0.5;;12;3.8;5.1;-6.7;43;-2;;image/mosfets/91088.png;Datasheet/mosfets/IRF9Z14/IRF9Z14.pdf;None
IRF9Z14S, SiHF9Z14S, IRF9Z14L, SiHF9Z14L;Enlarge;Single;D2PAK (TO-263);P;-60;20;;;;;;;;;0.5;;12;3.8;5.1;-6.7;43;-2;;image/mosfets/91089.png;Datasheet/mosfets/IRF9Z14S, SiHF9Z14S, IRF9Z14L, SiHF9Z14L/IRF9Z14S, SiHF9Z14S, IRF9Z14L, SiHF9Z14L.pdf;None
IRF9Z14S, SiHF9Z14S, IRF9Z14L, SiHF9Z14L;Enlarge;Single;I2PAK (TO-262);P;-60;20;;;;;;;;;0.5;;12;3.8;5.1;-6.7;43;-2;;image/mosfets/91089.png;Datasheet/mosfets/IRF9Z14S, SiHF9Z14S, IRF9Z14L, SiHF9Z14L/IRF9Z14S, SiHF9Z14S, IRF9Z14L, SiHF9Z14L.pdf;None
IRF9Z20, SiHF9Z20;Enlarge;Single;TO-220AB;P;-50;20;;;;;;;;;0.28;;26;6.2;8.6;-9.7;40;2;;image/mosfets/90121.png;Datasheet/mosfets/IRF9Z20, SiHF9Z20/IRF9Z20, SiHF9Z20.pdf;None
IRF9Z24;Enlarge;Single;TO-220AB;P;-60;20;;;;;;;;;0.28;;19;5.4;11;-11;60;-2;;image/mosfets/91090.png;Datasheet/mosfets/IRF9Z24/IRF9Z24.pdf;None
IRF9Z24S, SiHF9Z24S;Enlarge;Single;D2PAK (TO-263);P;-60;20;;;;;;;;;0.28;;19;5.4;11;-11;60;2;;image/mosfets/91091.png;Datasheet/mosfets/IRF9Z24S, SiHF9Z24S/IRF9Z24S, SiHF9Z24S.pdf;None
IRF9Z30;Enlarge;Single;TO-220AB;P;-50;20;;;;;;;;;0.14;;26;6.9;9.7;-18;74;-2;;image/mosfets/91459.png;Datasheet/mosfets/IRF9Z30/IRF9Z30.pdf;None
IRF9Z34;Enlarge;Single;TO-220AB;P;-60;20;;;;;;;;;0.14;;34;9.9;16;-18;88;-2;;image/mosfets/91092.png;Datasheet/mosfets/IRF9Z34/IRF9Z34.pdf;None
IRF9Z34S, SiHF9Z34S;Enlarge;Single;D2PAK (TO-263);P;-60;20;;;;;;;;;0.14;;34;9.9;16;-18;88;-2;;image/mosfets/91093.png;Datasheet/mosfets/IRF9Z34S, SiHF9Z34S/IRF9Z34S, SiHF9Z34S.pdf;None
IRFB11N50A;Enlarge;Single;TO-220;N;500;30;;;;;;;;;0.52;;52;13;18;11;170;2;;image/mosfets/91094.png;Datasheet/mosfets/IRFB11N50A/IRFB11N50A.pdf;None
IRFB9N60A;Enlarge;Single;TO-220AB;N;600;30;;;;;;;;;0.75;;49;13;20;9.2;170;2;;image/mosfets/91103.png;Datasheet/mosfets/IRFB9N60A/IRFB9N60A.pdf;None
IRFBC20;Enlarge;Single;TO-220AB;N;600;20;;;;;;;;;4.4;;18;3;8.9;2.2;50;2;;image/mosfets/91106.png;Datasheet/mosfets/IRFBC20/IRFBC20.pdf;None
IRFBC20S, SiHFBC20S, IRFBC20L, SiHFBC20L;Enlarge;Single;I2PAK (TO-262);N;600;20;;;;;;;;;4.4;;18;3;8.9;2.2;3.1;2;;image/mosfets/91107.png;Datasheet/mosfets/IRFBC20S, SiHFBC20S, IRFBC20L, SiHFBC20L/IRFBC20S, SiHFBC20S, IRFBC20L, SiHFBC20L.pdf;None
IRFBC20S, SiHFBC20S, IRFBC20L, SiHFBC20L;Enlarge;Single;D2PAK (TO-263);N;600;20;;;;;;;;;4.4;;18;3;8.9;2.2;3.1;2;;image/mosfets/91107.png;Datasheet/mosfets/IRFBC20S, SiHFBC20S, IRFBC20L, SiHFBC20L/IRFBC20S, SiHFBC20S, IRFBC20L, SiHFBC20L.pdf;None
IRFBC30A;Enlarge;Single;TO-220AB;N;600;30;;;;;;;;;2.2;;23;5.4;11;3.6;74;2;;image/mosfets/91108.png;Datasheet/mosfets/IRFBC30A/IRFBC30A.pdf;None
IRFBC30AS, SiHFBC30AS, IRFBC30AL, SiHFBC30AL;Enlarge;Single;D2PAK (TO-263);N;600;30;;;;;;;;;2.2;;23;5.4;11;3.6;74;2;;image/mosfets/91109.png;Datasheet/mosfets/IRFBC30AS, SiHFBC30AS, IRFBC30AL, SiHFBC30AL/IRFBC30AS, SiHFBC30AS, IRFBC30AL, SiHFBC30AL.pdf;None
IRFBC30AS, SiHFBC30AS, IRFBC30AL, SiHFBC30AL;Enlarge;Single;I2PAK (TO-262);N;600;30;;;;;;;;;2.2;;23;5.4;11;3.6;74;2;;image/mosfets/91109.png;Datasheet/mosfets/IRFBC30AS, SiHFBC30AS, IRFBC30AL, SiHFBC30AL/IRFBC30AS, SiHFBC30AS, IRFBC30AL, SiHFBC30AL.pdf;None
IRFBC40;Enlarge;Single;TO-220AB;N;600;20;;;;;;;;;1.2;;60;8.3;30;6.2;125;2;;image/mosfets/91115.png;Datasheet/mosfets/IRFBC40/IRFBC40.pdf;None
IRFBC40A;Enlarge;Single;TO-220AB;N;600;30;;;;;;;;;1.2;;42;10;20;6.2;125;2;;image/mosfets/91112.png;Datasheet/mosfets/IRFBC40A/IRFBC40A.pdf;None
IRFBC40AS, SiHFBC40AS;Enlarge;Single;D2PAK (TO-263);N;600;30;;;;;;;;;1.2;;42;10;20;6.2;125;2;;image/mosfets/91113.png;Datasheet/mosfets/IRFBC40AS, SiHFBC40AS/IRFBC40AS, SiHFBC40AS.pdf;None
IRFBC40LC;Enlarge;Single;TO-220AB;N;600;30;;;;;;;;;1.2;;39;10;19;6.2;125;2;;image/mosfets/91114.png;Datasheet/mosfets/IRFBC40LC/IRFBC40LC.pdf;None
IRFBC40S, SiHFBC40S, IRFBC40L, SiHFBC40L;;Single;D2PAK (TO-263);N;600;20;;;;;;;;;1.2;;60;8.3;30;6.2;130;2;;image/mosfets/91117.png;Datasheet/mosfets/IRFBC40S, SiHFBC40S, IRFBC40L, SiHFBC40L/IRFBC40S, SiHFBC40S, IRFBC40L, SiHFBC40L.pdf;None
IRFBC40S, SiHFBC40S, IRFBC40L, SiHFBC40L;;Single;I2PAK (TO-262);N;600;20;;;;;;;;;1.2;;60;8.3;30;6.2;130;2;;image/mosfets/91118.png;Datasheet/mosfets/IRFBC40S, SiHFBC40S, IRFBC40L, SiHFBC40L/IRFBC40S, SiHFBC40S, IRFBC40L, SiHFBC40L.pdf;None
IRFBE20;Enlarge;Single;TO-220AB;N;800;20;;;;;;;;;6.5;;38;5;21;1.8;54;2;;image/mosfets/91119.png;Datasheet/mosfets/IRFBE20/IRFBE20.pdf;None
IRFBE30;Enlarge;Single;TO-220AB;N;800;20;;;;;;;;;3;;78;9.6;45;4.1;125;2;;image/mosfets/91119.png;Datasheet/mosfets/IRFBE30/IRFBE30.pdf;None
IRFBE30S, SiHFBE30S, IRFBE30L, SiHFBE30L;Enlarge;Single;I2PAK (TO-262);N;800;20;;;;;;;;;3;;78;9.6;45;4.1;125;2;;image/mosfets/91120.png;Datasheet/mosfets/IRFBE30S, SiHFBE30S, IRFBE30L, SiHFBE30L/IRFBE30S, SiHFBE30S, IRFBE30L, SiHFBE30L.pdf;None
IRFBE30S, SiHFBE30S, IRFBE30L, SiHFBE30L;Enlarge;Single;D2PAK (TO-263);N;800;20;;;;;;;;;3;;78;9.6;45;4.1;125;2;;image/mosfets/91122.png;Datasheet/mosfets/IRFBE30S, SiHFBE30S, IRFBE30L, SiHFBE30L/IRFBE30S, SiHFBE30S, IRFBE30L, SiHFBE30L.pdf;None
IRFBF20;Enlarge;Single;TO-220AB;N;900;20;;;;;;;;;8;;38;4.7;21;1.7;54;2;;image/mosfets/91123.png;Datasheet/mosfets/IRFBF20/IRFBF20.pdf;None
IRFBF20S, SiHFBF20S, IRFBF20L, SiHFBF20L;;Single;D2PAK (TO-263);N;900;20;;;;;;;;;8;;38;4.7;21;1.7;54;2;;image/mosfets/91124.png;Datasheet/mosfets/IRFBF20S, SiHFBF20S, IRFBF20L, SiHFBF20L/IRFBF20S, SiHFBF20S, IRFBF20L, SiHFBF20L.pdf;None
IRFBF20S, SiHFBF20S, IRFBF20L, SiHFBF20L;;Single;I2PAK (TO-262);N;900;20;;;;;;;;;8;;38;4.7;21;1.7;54;2;;image/mosfets/90178.png;Datasheet/mosfets/IRFBF20S, SiHFBF20S, IRFBF20L, SiHFBF20L/IRFBF20S, SiHFBF20S, IRFBF20L, SiHFBF20L.pdf;None
IRFBF30;Enlarge;Single;TO-220AB;N;900;20;;;;;;;;;3.7;;78;10;42;3.6;125;2;;image/mosfets/90180.png;Datasheet/mosfets/IRFBF30/IRFBF30.pdf;None
