Series;Product Image;Configuration;Package;Ch;VDS(V);VGS(V);RDS(on)@1.2V(Ω);RDS(on)1.5V(Ω);RDS(on)@1.8V(Ω);RDS(on)@2.5V(Ω);RDS(on)@3V(Ω);RDS(on)@4.5V(Ω);RDS(on)@6V(Ω);RDS(on)@7.5V(Ω);RDS(on)@10V(Ω);Qg@4.5V(nC);Qg@10V(nC);Qgs(nC);Qgd(nC);IDMax.(A);PDMax.(W);VGS(th)Min.(V);RgTyp.(Ω);Image path;Datasheet part;3d model part
SiJH800E;Enlarge;Single;PowerPAK 8 x 8L;N;80;20;;;;;;;;0.0018;0.00155;;140;46;22;299;333;2;1.1;image/mosfets/63569.png;Datasheet/mosfets/SiJH800E/SiJH800E.pdf;None
SiJK140E;Enlarge;Single;"PowerPAK&#174; 10 x 12";N;40;20;;;;;;;;;0.00047;;312;84;70;795;536;2.4;1.1;image/mosfets/68805.png;Datasheet/mosfets/SiJK140E/SiJK140E.pdf;None
SiR104ADP;Enlarge;Single;PowerPAK SO-8;N;100;20;;;;;;;;0.0072;0.0061;;46.1;15.4;7.1;81;100;2;0.9;image/mosfets/65942.png;Datasheet/mosfets/SiR104ADP/SiR104ADP.pdf;None
SiR104DP;Enlarge;Single;PowerPAK SO-8;N;100;20;;;;;;;;0.0074;0.0064;;56;17.5;7;79;100;2;0.9;image/mosfets/68944.png;Datasheet/mosfets/SiR104DP/SiR104DP.pdf;None
SiR104LDP;Enlarge;Single;PowerPAK SO-8;N;100;20;;;;;;0.0077;;;0.0061;33;73;13.8;6.5;81;100;1;0.9;image/mosfets/69006.png;Datasheet/mosfets/SiR104LDP/SiR104LDP.pdf;None
SiR106ADP;Enlarge;Single;PowerPAK SO-8;N;100;20;;;;;;;;0.009;0.008;;34.5;12;5.3;65.8;83.3;2;0.8;image/mosfets/63684.png;Datasheet/mosfets/SiR106ADP/SiR106ADP.pdf;None
SiR108DP;Enlarge;Single;PowerPAK SO-8;N;100;20;;;;;;;;0.016;0.0135;;27.5;6.7;3.9;45;65.7;2;0.9;image/mosfets/62856.png;Datasheet/mosfets/SiR108DP/SiR108DP.pdf;None
SiR112DP;;Single;PowerPAK SO-8;N;40;20;;;;;;0.00265;;;0.00196;28.7;59;10.2;7.6;133;62.5;1.1;1;image/mosfets/62964.png;Datasheet/mosfets/SiR112DP/SiR112DP.pdf;Datasheet/mosfets/SiR112DP/SiR112DP.zip
SiR120DP;Enlarge;Single;PowerPAK SO-8;N;80;20;;;;;;;;0.0045;0.00355;;62.5;17.4;10.5;106;100;2;0.9;image/mosfets/64826.png;Datasheet/mosfets/SiR120DP/SiR120DP.pdf;None
SiR122DP;Enlarge;Single;PowerPAK SO-8;N;80;20;;;;;;;;0.009;0.0074;;29;10;4.8;59.6;65.7;2;0.81;image/mosfets/62933.png;Datasheet/mosfets/SiR122DP/SiR122DP.pdf;None
SiR122LDP;Enlarge;Single;PowerPAK SO-8;N;80;20;;;;;;0.009;;;0.00735;15.7;34.6;8.2;3.3;62.3;65.7;1;0.87;image/mosfets/62014.png;Datasheet/mosfets/SiR122LDP/SiR122LDP.pdf;None
SiR124DP;Enlarge;Single;PowerPAK SO-8;N;80;20;;;;;;;;0.0103;0.0084;;26;7.4;4.5;56.8;62.5;2;0.81;image/mosfets/62216.png;Datasheet/mosfets/SiR124DP/SiR124DP.pdf;Datasheet/mosfets/SiR124DP/SiR124DP.zip
SiR1309DP;Enlarge;Single;PowerPAK SO-8;P;-30;25;;;;;;0.013;;;0.0073;28;58;10.7;9.9;-65.7;56.8;-1;2.2;image/mosfets/75537.png;Datasheet/mosfets/SiR1309DP/SiR1309DP.pdf;None
SiR140DP;Enlarge;Single;PowerPAK SO-8;N;25;20;;;;;;0.0009;;;0.00067;52.8;113;17.6;10.7;100;104;1;0.38;image/mosfets/67307.png;Datasheet/mosfets/SiR140DP/SiR140DP.pdf;Datasheet/mosfets/SiR140DP/SiR140DP.zip
SiR150DP;;Single;PowerPAK SO-8;N;45;20;;;;;;0.00397;;;0.00271;21.4;46.7;11.1;3.6;110;65.7;1.1;1.15;image/mosfets/63583.png;Datasheet/mosfets/SiR150DP/SiR150DP.pdf;None
SiR158DP;;Single;PowerPAK SO-8;N;30;20;;;;;;0.0023;;;0.0018;41.5;87;10.6;13.8;60;83;1.2;0.7;image/mosfets/62070.png;Datasheet/mosfets/SiR158DP/SiR158DP.pdf;None
SiR164ADP;Enlarge;Single;PowerPAK SO-8;N;30;20;;;;;;0.0032;;;0.0022;22.5;51;8.6;4;40;62.5;1.1;1.25;image/mosfets/63046.png;Datasheet/mosfets/SiR164ADP/SiR164ADP.pdf;None
SiR165DP;Enlarge;Single;PowerPAK SO-8;P;-30;20;;;;;;0.0075;;;0.0046;44;92;12;14;-60;65.8;-1;1.6;image/mosfets/63046.png;Datasheet/mosfets/SiR165DP/SiR165DP.pdf;None
SiR166DP;Enlarge;Single;PowerPAK SO-8;N;30;20;;;;;;0.004;;;0.0032;25;51;6.5;8.5;40;48;1.2;1.5;image/mosfets/76792.png;Datasheet/mosfets/SiR166DP/SiR166DP.pdf;Datasheet/mosfets/SiR166DP/SiR166DP.zip
SiR167DP;Enlarge;Single;PowerPAK SO-8;P;-30;25;;;;;;0.0093;;;0.0055;36;74;12.1;12.3;-60;65.8;-1;1.6;image/mosfets/67954.png;Datasheet/mosfets/SiR167DP/SiR167DP.pdf;None
SiR170DP;Enlarge;Single;PowerPAK SO-8;N;100;20;;;;;;0.00585;;;0.0048;42;93;17;8.7;95;104;1;0.9;image/mosfets/62965.png;Datasheet/mosfets/SiR170DP/SiR170DP.pdf;None
SiR178DP;Enlarge;Single;PowerPAK SO-8;N;20;-8;;;;0.0012;;0.0005;;;0.0004;95;207;26.6;18.219;430;104;0.6;0.94;image/mosfets/76785.png;Datasheet/mosfets/SiR178DP/SiR178DP.pdf;None
SiR180ADP;Enlarge;Single;PowerPAK SO-8;N;60;20;;;;;;;;0.0028;0.0022;;46.2;15.8;7.1;137;83.3;2;0.9;image/mosfets/78019.png;Datasheet/mosfets/SiR180ADP/SiR180ADP.pdf;None
SiR180DP;Enlarge;Single;PowerPAK SO-8;N;60;20;;;;;;;;0.0025;0.00205;;58;15.4;7.7;60;83.3;2;0.9;image/mosfets/62716.png;Datasheet/mosfets/SiR180DP/SiR180DP.pdf;None
SiR182DP;Enlarge;Single;PowerPAK SO-8;N;60;20;;;;;;;;0.0038;0.0028;;42.2;12.2;6.7;117;69.4;2;0.76;image/mosfets/75603.png;Datasheet/mosfets/SiR182DP/SiR182DP.pdf;Datasheet/mosfets/SiR182DP/SiR182DP.zip
SiR182LDP;Enlarge;Single;PowerPAK SO-8;N;60;20;;;;;;0.00385;;;0.00275;26;56;11.5;6.4;130;83;1;0.8;image/mosfets/74547.png;Datasheet/mosfets/SiR182LDP/SiR182LDP.pdf;None
SiR184DP;Enlarge;Single;PowerPAK SO-8;N;60;20;;;;;;;;0.007;0.0058;;21;5.1;3.5;73;62.5;2;0.75;image/mosfets/62242.png;Datasheet/mosfets/SiR184DP/SiR184DP.pdf;Datasheet/mosfets/SiR184DP/SiR184DP.zip
SiR184LDP;Enlarge;Single;PowerPAK SO-8;N;60;20;;;;;;0.0083;;;0.0054;12.3;27;6;2.65;73;56.8;1;0.75;image/mosfets/62108.png;Datasheet/mosfets/SiR184LDP/SiR184LDP.pdf;Datasheet/mosfets/SiR184LDP/SiR184LDP.zip
SiR186DP;Enlarge;Single;PowerPAK SO-8;N;60;20;;;;;;;0.0078;0.0054;0.0045;;24.5;6.5;4.5;60;57;2;0.85;image/mosfets/76198.png;Datasheet/mosfets/SiR186DP/SiR186DP.pdf;None
SiR186LDP;Enlarge;Single;PowerPAK SO-8;N;60;20;;;;;;0.0063;;;0.0044;15.2;31.5;6.2;4.5;80.3;57;1;0.85;image/mosfets/63709.png;Datasheet/mosfets/SiR186LDP/SiR186LDP.pdf;None
