Part Number;Product Image;Data Rate(MBd);Package;CTR min.(%);tPLHtyp.(µs);tPHLtyp.(µs);Pulse Width Distortion PWD(ns);CMTI min.(V/μs);Operating Temperature(°C);Channel(s);Isolation VoltageVISO(VRMS);Safety Standard(s);Image path;Datasheet part;3d model part
SFH6325, SFH6326;Enlarge;1;SMD-8;19;0.5;0.2;n/a;n/a;-55 to +100;Dual;5300;UL, cUL, VDE, CQC;image/optocouplers\83679.png;Datasheet\optocouplers\SFH6325, SFH6326\SFH6325, SFH6326.pdf;Datasheet\optocouplers\SFH6325, SFH6326\SFH6325, SFH6326.zip
SFH6325, SFH6326;Enlarge;1;DIP-8;19;0.5;0.2;n/a;n/a;-55 to +100;Dual;5300;UL, cUL, VDE, CQC;image/optocouplers\83679.png;Datasheet\optocouplers\SFH6325, SFH6326\SFH6325, SFH6326.pdf;Datasheet\optocouplers\SFH6325, SFH6326\SFH6325, SFH6326.zip
SFH6345;Enlarge;1;DIP-8;19;0.3;0.3;n/a;15000;-55 to +100;Single;5300;UL, cUL, VDE, CQC;image/optocouplers\83680.png;Datasheet\optocouplers\SFH6345\SFH6345.pdf;Datasheet\optocouplers\SFH6345\SFH6345.zip
SFH6345;Enlarge;1;SMD-8;19;0.3;0.3;n/a;15000;-55 to +100;Single;5300;UL, cUL, VDE, CQC;image/optocouplers\83680.png;Datasheet\optocouplers\SFH6345\SFH6345.pdf;Datasheet\optocouplers\SFH6345\SFH6345.zip
SFH6345;Enlarge;1;DIP-8, 400 mil;19;0.3;0.3;n/a;15000;-55 to +100;Single;5300;UL, cUL, VDE, CQC;image/optocouplers\83680.png;Datasheet\optocouplers\SFH6345\SFH6345.pdf;Datasheet\optocouplers\SFH6345\SFH6345.zip
VOW135, VOW136;Enlarge;1;DIP-8, 400 mil;19;0.6;0.2;n/a;1000;-40 to +100;Single;5300;UL, cUL, VDE, CQC, CQC;image/optocouplers\84156.png;Datasheet\optocouplers\VOW135, VOW136\VOW135, VOW136.pdf;Datasheet\optocouplers\VOW135, VOW136\VOW135, VOW136.zip
VOW135, VOW136;Enlarge;1;SMD-8, 400 mil;19;0.6;0.2;n/a;1000;-40 to +100;Single;5300;UL, cUL, VDE, CQC, CQC;image/optocouplers\84156.png;Datasheet\optocouplers\VOW135, VOW136\VOW135, VOW136.pdf;Datasheet\optocouplers\VOW135, VOW136\VOW135, VOW136.zip
SFH6755T, SFH6756T, SFH6757T;Enlarge;10;SOIC-8;n/a;0.048;0.05;2.9;15000;- 40 to + 100;Dual;4000;UL, cUL, VDE;image/optocouplers\81331.png;Datasheet\optocouplers\SFH6755T, SFH6756T, SFH6757T\SFH6755T, SFH6756T, SFH6757T.pdf;Datasheet\optocouplers\SFH6755T, SFH6756T, SFH6757T\SFH6755T, SFH6756T, SFH6757T.zip
SFH6318, SFH6319;Enlarge;0.1;SOIC-8;500;3;0.5;n/a;n/a;-55 to +100;Single;3333;UL, cUL, VDE;image/optocouplers\83678.png;Datasheet\optocouplers\SFH6318, SFH6319\SFH6318, SFH6319.pdf;Datasheet\optocouplers\SFH6318, SFH6319\SFH6318, SFH6319.zip
SFH6315, SFH6316, SFH6343;Enlarge;1;SOIC-8;19;0.3;0.5;n/a;15000;-55 to +100;Single;4000;UL, cUL, VDE;image/optocouplers\83677.png;Datasheet\optocouplers\SFH6315, SFH6316, SFH6343\SFH6315, SFH6316, SFH6343.pdf;Datasheet\optocouplers\SFH6315, SFH6316, SFH6343\SFH6315, SFH6316, SFH6343.zip
VOM452, VOM453;Enlarge;1;SOP-5;15;0.5;0.2;n/a;15000;-55 to +100;Single;3750;UL, cUL, VDE;image/optocouplers\81587.png;Datasheet\optocouplers\VOM452, VOM453\VOM452, VOM453.pdf;Datasheet\optocouplers\VOM452, VOM453\VOM452, VOM453.zip
VOH260A;Enlarge;10;DIP-8;n/a;0.05;0.04;10;15000;-40 to +110;Single;5000;UL, cUL, VDE;image/optocouplers\80354.png;Datasheet\optocouplers\VOH260A\VOH260A.pdf;Datasheet\optocouplers\VOH260A\VOH260A.zip
VOH260A;Enlarge;10;DIP-8, 400 mil;n/a;0.05;0.04;10;15000;-40 to +110;Single;5000;UL, cUL, VDE;image/optocouplers\80354.png;Datasheet\optocouplers\VOH260A\VOH260A.pdf;Datasheet\optocouplers\VOH260A\VOH260A.zip
VOH260A;Enlarge;10;SMD-8;n/a;0.05;0.04;10;15000;-40 to +110;Single;5000;UL, cUL, VDE;image/optocouplers\80354.png;Datasheet\optocouplers\VOH260A\VOH260A.pdf;Datasheet\optocouplers\VOH260A\VOH260A.zip
VOH263A;Enlarge;10;DIP-8;n/a;0.05;0.04;10;15000;-40 to +110;Single;5000;UL, cUL, VDE;image/optocouplers\80355.png;Datasheet\optocouplers\VOH263A\VOH263A.pdf;Datasheet\optocouplers\VOH263A\VOH263A.zip
VOH263A;Enlarge;10;DIP-8, 400 mil;n/a;0.05;0.04;10;15000;-40 to +110;Single;5000;UL, cUL, VDE;image/optocouplers\80355.png;Datasheet\optocouplers\VOH263A\VOH263A.pdf;Datasheet\optocouplers\VOH263A\VOH263A.zip
VOH263A;Enlarge;10;SMD-8;n/a;0.05;0.04;10;15000;-40 to +110;Single;5000;UL, cUL, VDE;image/optocouplers\80355.png;Datasheet\optocouplers\VOH263A\VOH263A.pdf;Datasheet\optocouplers\VOH263A\VOH263A.zip
VOIH060A;Enlarge;10;SOIC-8;n/a;0.05;0.04;6;15000;-40 to +110;Single;3750;UL, cUL, VDE;image/optocouplers\80356.png;Datasheet\optocouplers\VOIH060A\VOIH060A.pdf;Datasheet\optocouplers\VOIH060A\VOIH060A.zip
VOIH063A;Enlarge;10;SOIC-8;n/a;0.05;0.04;6;15000;-40 to +110;Single;3750;UL, cUL, VDE;image/optocouplers\80357.png;Datasheet\optocouplers\VOIH063A\VOIH063A.pdf;Datasheet\optocouplers\VOIH063A\VOIH063A.zip
VO2630, VO2631, VO4661;Enlarge;10;DIP-8;n/a;0.05;0.04;10;15000;-40 to +100;Single;5000;UL, cUL, VDE;image/optocouplers\80412.png;Datasheet\optocouplers\VO2630, VO2631, VO4661\VO2630, VO2631, VO4661.pdf;Datasheet\optocouplers\VO2630, VO2631, VO4661\VO2630, VO2631, VO4661.zip
VO2630, VO2631, VO4661;Enlarge;10;DIP-8, 400 mil;n/a;0.05;0.04;10;15000;-40 to +100;Single;5000;UL, cUL, VDE;image/optocouplers\80412.png;Datasheet\optocouplers\VO2630, VO2631, VO4661\VO2630, VO2631, VO4661.pdf;Datasheet\optocouplers\VO2630, VO2631, VO4661\VO2630, VO2631, VO4661.zip
VO2630, VO2631, VO4661;Enlarge;10;SMD-8;n/a;0.05;0.04;10;15000;-40 to +100;Single;5000;UL, cUL, VDE;image/optocouplers\80412.png;Datasheet\optocouplers\VO2630, VO2631, VO4661\VO2630, VO2631, VO4661.pdf;Datasheet\optocouplers\VO2630, VO2631, VO4661\VO2630, VO2631, VO4661.zip
VO0630, VO0631, VO0661;Enlarge;10;SOIC-8;n/a;0.05;0.04;10;1000;-40 to +100;Single;3750;UL, cUL, VDE;image/optocouplers\80415.png;Datasheet\optocouplers\VO0630, VO0631, VO0661\VO0630, VO0631, VO0661.pdf;Datasheet\optocouplers\VO0630, VO0631, VO0661\VO0630, VO0631, VO0661.zip
VOWH260A;Enlarge;10;DIP-8, 400 mil;n/a;0.05;0.04;10;15000;-40 to +110;Single;5000;UL, cUL, VDE;image/optocouplers\84126.png;Datasheet\optocouplers\VOWH260A\VOWH260A.pdf;Datasheet\optocouplers\VOWH260A\VOWH260A.zip
VOWH260A;Enlarge;10;SMD-8, 400 mil;n/a;0.05;0.04;10;15000;-40 to +110;Single;5000;UL, cUL, VDE;image/optocouplers\84126.png;Datasheet\optocouplers\VOWH260A\VOWH260A.pdf;Datasheet\optocouplers\VOWH260A\VOWH260A.zip
VOW137;Enlarge;10;DIP-8, 400 mil;n/a;0.05;0.04;10;10000;-40 to +100;Single;5000;UL, cUL, VDE;image/optocouplers\84157.png;Datasheet\optocouplers\VOW137\VOW137.pdf;Datasheet\optocouplers\VOW137\VOW137.zip
VOW137;Enlarge;10;SMD-8, 400 mil;n/a;0.05;0.04;10;10000;-40 to +100;Single;5000;UL, cUL, VDE;image/optocouplers\84157.png;Datasheet\optocouplers\VOW137\VOW137.pdf;Datasheet\optocouplers\VOW137\VOW137.zip
VO0600, VO0601, VO0611;Enlarge;10;SOIC-8;n/a;0.05;0.04;10;15000;-40 to +100;Single;3750;UL, cUL, VDE;image/optocouplers\84607.png;Datasheet\optocouplers\VO0600, VO0601, VO0611\VO0600, VO0601, VO0611.pdf;Datasheet\optocouplers\VO0600, VO0601, VO0611\VO0600, VO0601, VO0611.zip
6N137, VO2601, VO2611;Enlarge;10;DIP-8;n/a;0.05;0.04;10;1000;-40 to +100;Single;5000;UL, cUL, VDE;image/optocouplers\84732.png;Datasheet\optocouplers\6N137, VO2601, VO2611\6N137, VO2601, VO2611.pdf;Datasheet\optocouplers\6N137, VO2601, VO2611\6N137, VO2601, VO2611.zip
6N137, VO2601, VO2611;Enlarge;10;DIP-8, 400 mil;n/a;0.05;0.04;10;1000;-40 to +100;Single;5000;UL, cUL, VDE;image/optocouplers\84732.png;Datasheet\optocouplers\6N137, VO2601, VO2611\6N137, VO2601, VO2611.pdf;Datasheet\optocouplers\6N137, VO2601, VO2611\6N137, VO2601, VO2611.zip
6N137, VO2601, VO2611;Enlarge;10;SMD-8;n/a;0.05;0.04;10;1000;-40 to +100;Single;5000;UL, cUL, VDE;image/optocouplers\84732.png;Datasheet\optocouplers\6N137, VO2601, VO2611\6N137, VO2601, VO2611.pdf;Datasheet\optocouplers\6N137, VO2601, VO2611\6N137, VO2601, VO2611.zip
VOIH72A;Enlarge;25;SOIC-8;n/a;0.029;0.024;2;20000;-40 to +110;Single;3750;UL, cUL;image/optocouplers\80305.png;Datasheet\optocouplers\VOIH72A\VOIH72A.pdf;None
