Part Number;Product Image;Package;VCEO(V);CTR Min.(1)%;CTR Max.(1)%;Forward Current IF(mA);ton/toff(µs);Operating Temperature(°C);Isolation Voltage VISOVRMS;Safety Standard(s);Image path;Datasheet part;3d model part
SFH1690AT, SFH1690BT, SFH1690CT, SFH1690ABT;Enlarge;SOP-4;70;50;300;5;5, 3;-55 to +110;3750;UL, cUL, VDE, BSI, CQC, CQC, F;image/optocouplers\83537.png;Datasheet\optocouplers\SFH1690AT, SFH1690BT, SFH1690CT, SFH1690ABT\SFH1690AT, SFH1690BT, SFH1690CT, SFH1690ABT.pdf;None
SFH601;Enlarge;DIP-6;100;40;320;10;3, 3;-55 to +100;5000;UL, cUL, VDE, CQC;image/optocouplers\83663.png;Datasheet\optocouplers\SFH601\SFH601.pdf;Datasheet\optocouplers\SFH601\SFH601.zip
SFH601;Enlarge;SMD-6;100;40;320;10;3, 3;-55 to +100;5000;UL, cUL, VDE, CQC;image/optocouplers\83663.png;Datasheet\optocouplers\SFH601\SFH601.pdf;Datasheet\optocouplers\SFH601\SFH601.zip
SFH601;Enlarge;DIP-6, 400 mil;100;40;320;10;3, 3;-55 to +100;5000;UL, cUL, VDE, CQC;image/optocouplers\83663.png;Datasheet\optocouplers\SFH601\SFH601.pdf;Datasheet\optocouplers\SFH601\SFH601.zip
SFH610A, SFH6106;Enlarge;DIP-4;70;13;500;10;3, 2.3;-55 to +100;4420 5300;UL, cUL, VDE, BSI, CQC, FIMKO;image/optocouplers\83666.png;Datasheet\optocouplers\SFH610A, SFH6106\SFH610A, SFH6106.pdf;Datasheet\optocouplers\SFH610A, SFH6106\SFH610A, SFH6106.zip
SFH610A, SFH6106;Enlarge;DIP-4, 400 mil;70;13;500;10;3, 2.3;-55 to +100;4420 5300;UL, cUL, VDE, BSI, CQC, FIMKO;image/optocouplers\83666.png;Datasheet\optocouplers\SFH610A, SFH6106\SFH610A, SFH6106.pdf;Datasheet\optocouplers\SFH610A, SFH6106\SFH610A, SFH6106.zip
SFH610A, SFH6106;Enlarge;SMD-4;70;13;500;10;3, 2.3;-55 to +100;4420 5300;UL, cUL, VDE, BSI, CQC, FIMKO;image/optocouplers\83666.png;Datasheet\optocouplers\SFH610A, SFH6106\SFH610A, SFH6106.pdf;Datasheet\optocouplers\SFH610A, SFH6106\SFH610A, SFH6106.zip
SFH6156;Enlarge;SMD-4;70;13;320;10;3, 2.3;-55 to +100;4420;UL, cUL, VDE, BSI, CQC, FIMKO;image/optocouplers\83671.png;Datasheet\optocouplers\SFH6156\SFH6156.pdf;Datasheet\optocouplers\SFH6156\SFH6156.zip
SFH615A;Enlarge;DIP-4;70;13;320;10;3, 2.3;-55 to +100;4470 5300;UL, cUL, VDE, BSI, FIMKO, CQC;image/optocouplers\83433.png;Datasheet\optocouplers\SFH615A\SFH615A.pdf;Datasheet\optocouplers\SFH615A\SFH615A.zip
SFH615A;Enlarge;DIP-4, 400 mil;70;13;320;10;3, 2.3;-55 to +100;4470 5300;UL, cUL, VDE, BSI, FIMKO, CQC;image/optocouplers\83433.png;Datasheet\optocouplers\SFH615A\SFH615A.pdf;Datasheet\optocouplers\SFH615A\SFH615A.zip
