Part Number;Product Image;Zero or Non-zero crossing;Package;Trigger Current IFTMax.(mA);Blocking Voltage VDRM(V);On-state Current(mA);Static dv / dt;Isolation Voltage VISOVRMS;Ambient Temperature Range(°C);Creepage Min.(mm);Working Voltage VIORM(Vpeak);Safety Standard;Image path;Datasheet part;3d model part
IL4216, IL4217, IL4218;Enlarge;Non-Zero;DIP-6, 400 mil;n/a;800;300;10000;4420;-55 to +100;8;890;UL, cUL, VDE, FIMKO;image/optocouplers/83630.png;Datasheet/optocouplers/opto-triac/IL4216, IL4217, IL4218/IL4216, IL4217, IL4218.pdf;Datasheet/optocouplers/opto-triac/IL4216, IL4217, IL4218/IL4216, IL4217, IL4218.zip
IL4216, IL4217, IL4218;Enlarge;Non-Zero;SMD-6;n/a;800;300;10000;4420;-55 to +100;7;890;UL, cUL, VDE, FIMKO;image/optocouplers/83630.png;Datasheet/optocouplers/opto-triac/IL4216, IL4217, IL4218/IL4216, IL4217, IL4218.pdf;Datasheet/optocouplers/opto-triac/IL4216, IL4217, IL4218/IL4216, IL4217, IL4218.zip
VO2223;Enlarge;Non-Zero;DIP-8;10;600;900;n/a;5300;-40 to +85;7;890;UL, cUL, VDE, FIMKO;image/optocouplers/81166.png;Datasheet/optocouplers/opto-triac/VO2223/VO2223.pdf;Datasheet/optocouplers/opto-triac/VO2223/VO2223.zip
VO2223A;Enlarge;Non-Zero;DIP-8;10;600;1000;n/a;5300;-40 to +85;7;890;UL, cUL, VDE, FIMKO;image/optocouplers/81924.png;Datasheet/optocouplers/opto-triac/VO2223A/VO2223A.pdf;Datasheet/optocouplers/opto-triac/VO2223A/VO2223A.zip
VO2223A;Enlarge;Non-Zero;SMD-8;10;600;1000;n/a;5300;-40 to +85;7;890;UL, cUL, VDE, FIMKO;image/optocouplers/81924.png;Datasheet/optocouplers/opto-triac/VO2223A/VO2223A.pdf;Datasheet/optocouplers/opto-triac/VO2223A/VO2223A.zip
VO2223B;Enlarge;Non-Zero;DIP-8;10;600;1000;n/a;5300;-40 to +85;7;890;UL, cUL, VDE, FIMKO;image/optocouplers/83312.png;Datasheet/optocouplers/opto-triac/VO2223B/VO2223B.pdf;Datasheet/optocouplers/opto-triac/VO2223B/VO2223B.zip
VO2223B;Enlarge;Non-Zero;SMD-8;10;600;1000;n/a;5300;-40 to +85;7;890;UL, cUL, VDE, FIMKO;image/optocouplers/83312.png;Datasheet/optocouplers/opto-triac/VO2223B/VO2223B.pdf;Datasheet/optocouplers/opto-triac/VO2223B/VO2223B.zip
VO3021, VO3022, VO3023;Enlarge;Non-Zero;DIP-6;5 to 15;400;100;1000;5000;-40 to +100;;;UL, cUL, VDE, CQC, CQC, FIMKO;image/optocouplers/84132.png;Datasheet/optocouplers/opto-triac/VO3021, VO3022, VO3023/VO3021, VO3022, VO3023.pdf;None
VO3021, VO3022, VO3023;Enlarge;Non-Zero;DIP-6, 400 mil;5 to 15;400;100;1000;5000;-40 to +100;;;UL, cUL, VDE, CQC, CQC, FIMKO;image/optocouplers/84132.png;Datasheet/optocouplers/opto-triac/VO3021, VO3022, VO3023/VO3021, VO3022, VO3023.pdf;None
VO3021, VO3022, VO3023;Enlarge;Non-Zero;SMD-6;5 to 15;400;100;1000;5000;-40 to +100;;;UL, cUL, VDE, CQC, CQC, FIMKO;image/optocouplers/84132.png;Datasheet/optocouplers/opto-triac/VO3021, VO3022, VO3023/VO3021, VO3022, VO3023.pdf;None
VO3052, VO3053;Enlarge;Non-Zero;DIP-6;5 to 10;600;100;1500;4420;-55 to +100;7;890;UL, cUL, VDE;image/optocouplers/83749.png;Datasheet/optocouplers/opto-triac/VO3052, VO3053/VO3052, VO3053.pdf;Datasheet/optocouplers/opto-triac/VO3052, VO3053/VO3052, VO3053.zip
VO3052, VO3053;Enlarge;Non-Zero;DIP-6, 400 mil;5 to 10;600;100;1500;4420;-55 to +100;8;890;UL, cUL, VDE;image/optocouplers/83749.png;Datasheet/optocouplers/opto-triac/VO3052, VO3053/VO3052, VO3053.pdf;Datasheet/optocouplers/opto-triac/VO3052, VO3053/VO3052, VO3053.zip
VO3052, VO3053;Enlarge;Non-Zero;SMD-6;5 to 10;600;100;1500;4420;-55 to +100;7;890;UL, cUL, VDE;image/optocouplers/83749.png;Datasheet/optocouplers/opto-triac/VO3052, VO3053/VO3052, VO3053.pdf;Datasheet/optocouplers/opto-triac/VO3052, VO3053/VO3052, VO3053.zip
VO4256;Enlarge;Non-Zero;DIP-6;1.6 to 3;600;300;5000;4420;-55 to +100;7;890;UL, cUL, VDE, FIMKO;image/optocouplers/84798.png;Datasheet/optocouplers/opto-triac/VO4256/VO4256.pdf;Datasheet/optocouplers/opto-triac/VO4256/VO4256.zip
VO4256;Enlarge;Non-Zero;SMD-6;1.6 to 3;600;300;5000;4420;-55 to +100;7;890;UL, cUL, VDE, FIMKO;image/optocouplers/84798.png;Datasheet/optocouplers/opto-triac/VO4256/VO4256.pdf;Datasheet/optocouplers/opto-triac/VO4256/VO4256.zip
VOM160;Enlarge;Non-Zero;SOP-4;5 to 10;600;70;500;3750;-40 to +100;;;UL, cUL, VDE, CQC;image/optocouplers/81349.png;Datasheet/optocouplers/opto-triac/VOM160/VOM160.pdf;Datasheet/optocouplers/opto-triac/VOM160/VOM160.zip
VOM3052, VOM3053;Enlarge;Non-Zero;SOP-4;5 to 10;600;70;1500;3750;-40 to +100;;;UL, cUL, VDE, CQC;image/optocouplers/83492.png;Datasheet/optocouplers/opto-triac/VOM3052, VOM3053/VOM3052, VOM3053.pdf;Datasheet/optocouplers/opto-triac/VOM3052, VOM3053/VOM3052, VOM3053.zip
VOM3052, VOM3053;Enlarge;Non-Zero;SOP-4 180° orientation;5 to 10;600;70;1500;3750;-40 to +100;;;UL, cUL, VDE, CQC;image/optocouplers/83492.png;Datasheet/optocouplers/opto-triac/VOM3052, VOM3053/VOM3052, VOM3053.pdf;Datasheet/optocouplers/opto-triac/VOM3052, VOM3053/VOM3052, VOM3053.zip
BRT21, BRT22, BRT23;Enlarge;Zero;DIP-6;1.2 to 2;800;300;10000;4420;-40 to +100;7;630;UL, cUL, VDE;image/optocouplers/83690.png;Datasheet/optocouplers/opto-triac/BRT21, BRT22, BRT23/BRT21, BRT22, BRT23.pdf;None
BRT21, BRT22, BRT23;Enlarge;Zero;DIP-6, 400 mil;1.2 to 2;800;300;10000;4420;-40 to +100;;630;UL, cUL, VDE;image/optocouplers/83690.png;Datasheet/optocouplers/opto-triac/BRT21, BRT22, BRT23/BRT21, BRT22, BRT23.pdf;None
BRT21, BRT22, BRT23;Enlarge;Zero;SMD-6;1.2 to 2;800;300;10000;4420;-40 to +100;7;630;UL, cUL, VDE;image/optocouplers/83690.png;Datasheet/optocouplers/opto-triac/BRT21, BRT22, BRT23/BRT21, BRT22, BRT23.pdf;None
