Series;Product Image;Product Line;PPPMat 10 x 1000 μs(W);Package (JEDEC®)Code;TVS Polarity;Stand-OffVoltageVWM(V);BreakdownVoltage VBRat IT(V) Min.;BreakdownVoltage VBRat IT(V) Max.;TJMax.(°C);AEC-Q101Qualified;Image path;Datasheet part;3d model part
SM5S10CA thru SM5S85CA;Enlarge;PAR® TVS;3600;DO-218AB;Bidirectional;17.0;18.9;20.9;175;Yes;image/diodes\98458.png;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.pdf;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.zip
SM5S10CA thru SM5S85CA;Enlarge;PAR® TVS;3600;DO-218AB;Bidirectional;33.0;36.7;40.6;175;Yes;image/diodes\98458.png;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.pdf;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.zip
SM5S10CA thru SM5S85CA;Enlarge;PAR® TVS;3600;DO-218AB;Bidirectional;48.0;53.3;58.9;175;Yes;image/diodes\98458.png;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.pdf;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.zip
SM5S10CA thru SM5S85CA;Enlarge;PAR® TVS;3600;DO-218AB;Bidirectional;14.0;15.6;17.2;175;Yes;image/diodes\98458.png;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.pdf;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.zip
SM5S10CA thru SM5S85CA;Enlarge;PAR® TVS;3600;DO-218AB;Bidirectional;78.0;86.7;95.8;175;Yes;image/diodes\98458.png;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.pdf;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.zip
SM5S10CA thru SM5S85CA;Enlarge;PAR® TVS;3600;DO-218AB;Bidirectional;26.0;28.9;31.9;175;Yes;image/diodes\98458.png;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.pdf;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.zip
SM5S10CA thru SM5S85CA;Enlarge;PAR® TVS;3600;DO-218AB;Bidirectional;11.0;12.2;13.5;175;Yes;image/diodes\98458.png;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.pdf;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.zip
SM5S10CA thru SM5S85CA;Enlarge;PAR® TVS;3600;DO-218AB;Bidirectional;64.0;71.1;78.6;175;Yes;image/diodes\98458.png;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.pdf;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.zip
SM5S10CA thru SM5S85CA;Enlarge;PAR® TVS;3600;DO-218AB;Bidirectional;20.0;22.2;24.5;175;Yes;image/diodes\98458.png;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.pdf;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.zip
SM5S10CA thru SM5S85CA;Enlarge;PAR® TVS;3600;DO-218AB;Bidirectional;40.0;44.4;49.1;175;Yes;image/diodes\98458.png;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.pdf;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.zip
SM5S10CA thru SM5S85CA;Enlarge;PAR® TVS;3600;DO-218AB;Bidirectional;54.0;60.0;66.3;175;Yes;image/diodes\98458.png;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.pdf;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.zip
SM5S10CA thru SM5S85CA;Enlarge;PAR® TVS;3600;DO-218AB;Bidirectional;16.0;17.8;19.7;175;Yes;image/diodes\98458.png;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.pdf;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.zip
SM5S10CA thru SM5S85CA;Enlarge;PAR® TVS;3600;DO-218AB;Bidirectional;30.0;33.3;36.8;175;Yes;image/diodes\98458.png;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.pdf;Datasheet\diodes\SM5S10CA thru SM5S85CA\SM5S10CA thru SM5S85CA.zip
