Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size (mm)(mm);Image path;Datasheet part;3d model part
DLA 06013, DLA 06014, DLA 06015, DLA 06016;Enlarge;Tantalum, Wet;Through Hole;Axial;560 µF;10.0;1260.0;16.28 x 7.14 (T2);image/capacitors\40143.png;Datasheet\capacitors\DLA 06013, DLA 06014, DLA 06015, DLA 06016\DLA 06013, DLA 06014, DLA 06015, DLA 06016.pdf;Datasheet\capacitors\DLA 06013, DLA 06014, DLA 06015, DLA 06016\DLA 06013, DLA 06014, DLA 06015, DLA 06016.zip
DLA 06013, DLA 06014, DLA 06015, DLA 06016;Enlarge;Tantalum, Wet;Through Hole;Axial;8 µF;30.0;;11.51 x 4.78 (T1);image/capacitors\40143.png;Datasheet\capacitors\DLA 06013, DLA 06014, DLA 06015, DLA 06016\DLA 06013, DLA 06014, DLA 06015, DLA 06016.pdf;Datasheet\capacitors\DLA 06013, DLA 06014, DLA 06015, DLA 06016\DLA 06013, DLA 06014, DLA 06015, DLA 06016.zip
DLA 06013, DLA 06014, DLA 06015, DLA 06016;Enlarge;Tantalum, Wet;Through Hole;Axial;100 µF;30.0;1130.0;19.46 x 9.53 (T3);image/capacitors\40143.png;Datasheet\capacitors\DLA 06013, DLA 06014, DLA 06015, DLA 06016\DLA 06013, DLA 06014, DLA 06015, DLA 06016.pdf;Datasheet\capacitors\DLA 06013, DLA 06014, DLA 06015, DLA 06016\DLA 06013, DLA 06014, DLA 06015, DLA 06016.zip
DLA 06013, DLA 06014, DLA 06015, DLA 06016;Enlarge;Tantalum, Wet;Through Hole;Axial;47 µF;10.0;;11.51 x 4.78 (T1);image/capacitors\40143.png;Datasheet\capacitors\DLA 06013, DLA 06014, DLA 06015, DLA 06016\DLA 06013, DLA 06014, DLA 06015, DLA 06016.pdf;Datasheet\capacitors\DLA 06013, DLA 06014, DLA 06015, DLA 06016\DLA 06013, DLA 06014, DLA 06015, DLA 06016.zip
DLA 06013, DLA 06014, DLA 06015, DLA 06016;Enlarge;Tantalum, Wet;Through Hole;Axial;390 µF;10.0;750.0;19.46 x 9.53 (T3);image/capacitors\40143.png;Datasheet\capacitors\DLA 06013, DLA 06014, DLA 06015, DLA 06016\DLA 06013, DLA 06014, DLA 06015, DLA 06016.pdf;Datasheet\capacitors\DLA 06013, DLA 06014, DLA 06015, DLA 06016\DLA 06013, DLA 06014, DLA 06015, DLA 06016.zip
DLA 06013, DLA 06014, DLA 06015, DLA 06016;Enlarge;Tantalum, Wet;Through Hole;Axial;68 µF;25.0;;11.51 x 4.78 (T1);image/capacitors\40143.png;Datasheet\capacitors\DLA 06013, DLA 06014, DLA 06015, DLA 06016\DLA 06013, DLA 06014, DLA 06015, DLA 06016.pdf;Datasheet\capacitors\DLA 06013, DLA 06014, DLA 06015, DLA 06016\DLA 06013, DLA 06014, DLA 06015, DLA 06016.zip
DLA 06013, DLA 06014, DLA 06015, DLA 06016;Enlarge;Tantalum, Wet;Through Hole;Axial;56 µF;30.0;2610.0;11.51 x 4.78 (T1);image/capacitors\40143.png;Datasheet\capacitors\DLA 06013, DLA 06014, DLA 06015, DLA 06016\DLA 06013, DLA 06014, DLA 06015, DLA 06016.pdf;Datasheet\capacitors\DLA 06013, DLA 06014, DLA 06015, DLA 06016\DLA 06013, DLA 06014, DLA 06015, DLA 06016.zip
DLA 06013, DLA 06014, DLA 06015, DLA 06016;Enlarge;Tantalum, Wet;Through Hole;Axial;60 µF;50.0;;19.46 x 9.53 (T3);image/capacitors\40143.png;Datasheet\capacitors\DLA 06013, DLA 06014, DLA 06015, DLA 06016\DLA 06013, DLA 06014, DLA 06015, DLA 06016.pdf;Datasheet\capacitors\DLA 06013, DLA 06014, DLA 06015, DLA 06016\DLA 06013, DLA 06014, DLA 06015, DLA 06016.zip
DLA 06013, DLA 06014, DLA 06015, DLA 06016;Enlarge;Tantalum, Wet;Through Hole;Axial;8.2 µF;60.0;3240.0;11.51 x 4.78 (T1);image/capacitors\40143.png;Datasheet\capacitors\DLA 06013, DLA 06014, DLA 06015, DLA 06016\DLA 06013, DLA 06014, DLA 06015, DLA 06016.pdf;Datasheet\capacitors\DLA 06013, DLA 06014, DLA 06015, DLA 06016\DLA 06013, DLA 06014, DLA 06015, DLA 06016.zip
DLA 06013, DLA 06014, DLA 06015, DLA 06016;Enlarge;Tantalum, Wet;Through Hole;Axial;330 µF;6.0;730.0;19.46 x 9.53 (T3);image/capacitors\40143.png;Datasheet\capacitors\DLA 06013, DLA 06014, DLA 06015, DLA 06016\DLA 06013, DLA 06014, DLA 06015, DLA 06016.pdf;Datasheet\capacitors\DLA 06013, DLA 06014, DLA 06015, DLA 06016\DLA 06013, DLA 06014, DLA 06015, DLA 06016.zip
DLA 06013, DLA 06014, DLA 06015, DLA 06016;Enlarge;Tantalum, Wet;Through Hole;Axial;820 µF;6.0;;16.28 x 7.14 (T2);image/capacitors\40143.png;Datasheet\capacitors\DLA 06013, DLA 06014, DLA 06015, DLA 06016\DLA 06013, DLA 06014, DLA 06015, DLA 06016.pdf;Datasheet\capacitors\DLA 06013, DLA 06014, DLA 06015, DLA 06016\DLA 06013, DLA 06014, DLA 06015, DLA 06016.zip
DLA 06013, DLA 06014, DLA 06015, DLA 06016;Enlarge;Tantalum, Wet;Through Hole;Axial;180 µF;8.0;1510.0;11.51 x 4.78 (T1);image/capacitors\40143.png;Datasheet\capacitors\DLA 06013, DLA 06014, DLA 06015, DLA 06016\DLA 06013, DLA 06014, DLA 06015, DLA 06016.pdf;Datasheet\capacitors\DLA 06013, DLA 06014, DLA 06015, DLA 06016\DLA 06013, DLA 06014, DLA 06015, DLA 06016.zip
