Series;Product Image;IF(AV)(A) at Ths/TC(°C);IFSMat 50 Hz(A);IFSMat 60 Hz(A);VRRM(V);trr(µs);TJ(°C);VFM(V);Package (JEDEC®) Code;Circuit Configuration;Image path;Datasheet part;3d model part
VS-25F(R) Series;Enlarge;25 at 120;356;373;1200;;-65 to +175;1.3;DO-4 (DO-203AA);Single;image/diodes/93506.png;Datasheet/diodes/med-high-diodes/VS-25F(R) Series/VS-25F(R) Series.pdf;
VS-25F(R) Series;Enlarge;25 at 120;356;373;1000;;-65 to +175;1.3;DO-4 (DO-203AA);Single;image/diodes/93506.png;Datasheet/diodes/med-high-diodes/VS-25F(R) Series/VS-25F(R) Series.pdf;
VS-25F(R) Series;Enlarge;25 at 120;356;373;800;;-65 to +175;1.3;DO-4 (DO-203AA);Single;image/diodes/93506.png;Datasheet/diodes/med-high-diodes/VS-25F(R) Series/VS-25F(R) Series.pdf;
VS-25F(R) Series;Enlarge;25 at 120;356;373;600;;-65 to +175;1.3;DO-4 (DO-203AA);Single;image/diodes/93506.png;Datasheet/diodes/med-high-diodes/VS-25F(R) Series/VS-25F(R) Series.pdf;
VS-25F(R) Series;Enlarge;25 at 120;356;373;400;;-65 to +175;1.3;DO-4 (DO-203AA);Single;image/diodes/93506.png;Datasheet/diodes/med-high-diodes/VS-25F(R) Series/VS-25F(R) Series.pdf;
VS-25F(R) Series;Enlarge;25 at 120;356;373;200;;-65 to +175;1.3;DO-4 (DO-203AA);Single;image/diodes/93506.png;Datasheet/diodes/med-high-diodes/VS-25F(R) Series/VS-25F(R) Series.pdf;
VS-25F(R) Series;Enlarge;25 at 120;356;373;100;;-65 to +175;1.3;DO-4 (DO-203AA);Single;image/diodes/93506.png;Datasheet/diodes/med-high-diodes/VS-25F(R) Series/VS-25F(R) Series.pdf;
