Part Number;Product Image;Package Type;Package Form;Package Dimensions (L x W x H)(mm);Peak Wavelength(nm);Radiant Intensity(mW/sr);Angle of Half Intensity(±°);Rise Time(ns);Radiant Power(mW);AEC-Qualified;Image path;Datasheet part;3d model part
VSMA1085250X02;Enlarge;surface-mount;High power with lens;3.4 x 3.4 x 2.9;850;1350;28;13;;Yes;image/ir-emitting-diodes/80242.png;Datasheet\/ir-emitting-diodes/VSMA1085250X02\VSMA1085250X02.pdf;Datasheet\/ir-emitting-diodes/VSMA1085250X02\VSMA1085250X02.zip
VSMA1085400;Enlarge;surface-mount;High power with lens;3.4 x 3.4 x 2.45;850;1025;40;13;;No;image/ir-emitting-diodes/80294.png;Datasheet\/ir-emitting-diodes/VSMA1085400\VSMA1085400.pdf;Datasheet\/ir-emitting-diodes/VSMA1085400\VSMA1085400.zip
VSMA1085400X02;Enlarge;surface-mount;High power with lens;3.4 x 3.4 x 2.45;850;1025;40;13;;Yes;image/ir-emitting-diodes/80245.png;Datasheet\/ir-emitting-diodes/VSMA1085400X02\VSMA1085400X02.pdf;Datasheet\/ir-emitting-diodes/VSMA1085400X02\VSMA1085400X02.zip
VSMA1085600;Enlarge;surface-mount;High power with lens;3.4 x 3.4 x 1.8;850;510;60;13;;No;image/ir-emitting-diodes/80298.png;Datasheet\/ir-emitting-diodes/VSMA1085600\VSMA1085600.pdf;Datasheet\/ir-emitting-diodes/VSMA1085600\VSMA1085600.zip
VSMA1085600X02;Enlarge;surface-mount;High power with lens;3.4 x 3.4 x 1.8;850;510;60;13;;Yes;image/ir-emitting-diodes/80262.png;Datasheet\/ir-emitting-diodes/VSMA1085600X02\VSMA1085600X02.pdf;Datasheet\/ir-emitting-diodes/VSMA1085600X02\VSMA1085600X02.zip
VSMA1085750;Enlarge;surface-mount;High power with lens;3.4 x 3.4 x 1.5;850;360;75;13;;No;image/ir-emitting-diodes/80416.png;Datasheet\/ir-emitting-diodes/VSMA1085750\VSMA1085750.pdf;Datasheet\/ir-emitting-diodes/VSMA1085750\VSMA1085750.zip
VSMA1085750X02;Enlarge;surface-mount;High power with lens;3.4 x 3.4 x 1.5;850;360;75;13;;Yes;image/ir-emitting-diodes/80374.png;Datasheet\/ir-emitting-diodes/VSMA1085750X02\VSMA1085750X02.pdf;Datasheet\/ir-emitting-diodes/VSMA1085750X02\VSMA1085750X02.zip
VSMA1094250;Enlarge;surface-mount;High power with lens;3.4 x 3.4 x 2.9;945;1350;28;10;;No;image/ir-emitting-diodes/80299.png;Datasheet\/ir-emitting-diodes/VSMA1094250\VSMA1094250.pdf;Datasheet\/ir-emitting-diodes/VSMA1094250\VSMA1094250.zip
VSMA1094250X02;Enlarge;surface-mount;High power with lens;3.4 x 3.4 x 2.9;945;1350;28;10;;Yes;image/ir-emitting-diodes/80179.png;Datasheet\/ir-emitting-diodes/VSMA1094250X02\VSMA1094250X02.pdf;Datasheet\/ir-emitting-diodes/VSMA1094250X02\VSMA1094250X02.zip
VSMA1094400;Enlarge;surface-mount;High power with lens;3.4 x 3.4 x 2.45;945;1025;40;10;;No;image/ir-emitting-diodes/80295.png;Datasheet\/ir-emitting-diodes/VSMA1094400\VSMA1094400.pdf;Datasheet\/ir-emitting-diodes/VSMA1094400\VSMA1094400.zip
VSMA1094400X02;Enlarge;surface-mount;High power with lens;3.4 x 3.4 x 2.45;945;1025;40;10;;Yes;image/ir-emitting-diodes/80227.png;Datasheet\/ir-emitting-diodes/VSMA1094400X02\VSMA1094400X02.pdf;Datasheet\/ir-emitting-diodes/VSMA1094400X02\VSMA1094400X02.zip
VSMA1094600;Enlarge;surface-mount;High power with lens;3.4 x 3.4 x 1.8;945;510;60;10;;No;image/ir-emitting-diodes/80300.png;Datasheet\/ir-emitting-diodes/VSMA1094600\VSMA1094600.pdf;Datasheet\/ir-emitting-diodes/VSMA1094600\VSMA1094600.zip
VSMA1094600X02;Enlarge;surface-mount;High power with lens;3.4 x 3.4 x 1.8;945;510;60;10;;Yes;image/ir-emitting-diodes/80268.png;Datasheet\/ir-emitting-diodes/VSMA1094600X02\VSMA1094600X02.pdf;Datasheet\/ir-emitting-diodes/VSMA1094600X02\VSMA1094600X02.zip
VSMA1094750;Enlarge;surface-mount;High power with lens;3.4 x 3.4 x 1.5;945;360;75;10;;No;image/ir-emitting-diodes/80417.png;Datasheet\/ir-emitting-diodes/VSMA1094750\VSMA1094750.pdf;Datasheet\/ir-emitting-diodes/VSMA1094750\VSMA1094750.zip
