Part Number;Product Image;Package Type;Package Form;Package Dimensions (L x W x H)(mm);Peak Wavelength(nm);Radiant Intensity(mW/sr);Angle of Half Intensity(±°);Rise Time(ns);Radiant Power(mW);AEC-Qualified;Image path;Datasheet part;3d model part
VSMY5890;Enlarge;surface-mount;0805;2 x 1.25 x 0.8;890;13;60;7;;No;image/ir-emitting-diodes/80138.png;Datasheet\/ir-emitting-diodes/VSMY5890\VSMY5890.pdf;None
VSMY5890X01;Enlarge;surface-mount;0805;2 x 1.25 x 0.8;890;13;60;7;;Yes;image/ir-emitting-diodes/84952.png;Datasheet\/ir-emitting-diodes/VSMY5890X01\VSMY5890X01.pdf;None
VSMY5940;Enlarge;surface-mount;0805;2 x 1.25 x 0.8;940;13;60;7;;No;image/ir-emitting-diodes/80139.png;Datasheet\/ir-emitting-diodes/VSMY5940\VSMY5940.pdf;None
VSMY5940X01;Enlarge;surface-mount;0805;2 x 1.25 x 0.8;940;13;60;7;;Yes;image/ir-emitting-diodes/84886.png;Datasheet\/ir-emitting-diodes/VSMY5940X01\VSMY5940X01.pdf;None
VSMY98145DS;Enlarge;surface-mount;High power with lens;3.85 x 3.85 x 2.24;810;500;45;30;;No;image/ir-emitting-diodes/84368.png;Datasheet\/ir-emitting-diodes/VSMY98145DS\VSMY98145DS.pdf;None
VSMY98525DS;Enlarge;surface-mount;High power with lens;3.85 x 3.85 x 3.00;850;1000;25;14;;No;image/ir-emitting-diodes/84908.png;Datasheet\/ir-emitting-diodes/VSMY98525DS\VSMY98525DS.pdf;None
VSMY98545;Enlarge;surface-mount;High power with lens;3.85 x 3.85 x 2.24;850;380;45;15;;No;image/ir-emitting-diodes/81223.png;Datasheet\/ir-emitting-diodes/VSMY98545\VSMY98545.pdf;None
VSMY9854535;Enlarge;surface-mount;High power with lens;3.85 x 3.85 x 2.24;850;370;45;15;;No;image/ir-emitting-diodes/84358.png;Datasheet\/ir-emitting-diodes/VSMY9854535\VSMY9854535.pdf;None
VSMY98545ADS;Enlarge;surface-mount;High power with lens;3.85 x 3.85 x 2.24;850;630;45;14;;No;image/ir-emitting-diodes/84390.png;Datasheet\/ir-emitting-diodes/VSMY98545ADS\VSMY98545ADS.pdf;None
VSMY9857535;Enlarge;surface-mount;High power with lens;3.85 x 3.85 x 1.51;850;180;75;30;;No;image/ir-emitting-diodes/84359.png;Datasheet\/ir-emitting-diodes/VSMY9857535\VSMY9857535.pdf;None
VSMY98575ADS;Enlarge;surface-mount;High power with lens;3.85 x 3.85 x 1.51;850;320;75;14;;No;image/ir-emitting-diodes/84391.png;Datasheet\/ir-emitting-diodes/VSMY98575ADS\VSMY98575ADS.pdf;None
