Series;Product Image;Type;Technology;Description;Mounting;Voltage(V);Capacitance (min.);Capacitance (max.);Dielectric;Image path;Datasheet part;3d model part
VJ....32 Lead-Bearing Finish MLCCs;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors With Lead-Bearing Finish Termination;Surface Mount;100.0;1 pF;220 pF;C0G (NP0);image\capacitors\45256.png;Datasheet\capacitors\VJ....32 Lead-Bearing Finish MLCCs\VJ....32 Lead-Bearing Finish MLCCs.pdf;
VJ....32 Lead-Bearing Finish MLCCs;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors With Lead-Bearing Finish Termination;Surface Mount;100.0;120 pF;33 nF;X7R;image\capacitors\45256.png;Datasheet\capacitors\VJ....32 Lead-Bearing Finish MLCCs\VJ....32 Lead-Bearing Finish MLCCs.pdf;
VJ....32 Lead-Bearing Finish MLCCs;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors With Lead-Bearing Finish Termination;Surface Mount;200.0;1 pF;820 pF;C0G (NP0);image\capacitors\45256.png;Datasheet\capacitors\VJ....32 Lead-Bearing Finish MLCCs\VJ....32 Lead-Bearing Finish MLCCs.pdf;
VJ....32 Lead-Bearing Finish MLCCs;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors With Lead-Bearing Finish Termination;Surface Mount;200.0;330 pF;150 nF;X7R;image\capacitors\45256.png;Datasheet\capacitors\VJ....32 Lead-Bearing Finish MLCCs\VJ....32 Lead-Bearing Finish MLCCs.pdf;
VJ....32 Lead-Bearing Finish MLCCs;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors With Lead-Bearing Finish Termination;Surface Mount;200.0;330 pF;470 nF;X7R;image\capacitors\45256.png;Datasheet\capacitors\VJ....32 Lead-Bearing Finish MLCCs\VJ....32 Lead-Bearing Finish MLCCs.pdf;
VJ....32 Lead-Bearing Finish MLCCs;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors With Lead-Bearing Finish Termination;Surface Mount;500.0;1 pF;3.9 nF;C0G (NP0);image\capacitors\45256.png;Datasheet\capacitors\VJ....32 Lead-Bearing Finish MLCCs\VJ....32 Lead-Bearing Finish MLCCs.pdf;
VJ....32 Lead-Bearing Finish MLCCs;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors With Lead-Bearing Finish Termination;Surface Mount;630.0;1 pF;8.2 nF;C0G (NP0);image\capacitors\45256.png;Datasheet\capacitors\VJ....32 Lead-Bearing Finish MLCCs\VJ....32 Lead-Bearing Finish MLCCs.pdf;
VJ....32 Lead-Bearing Finish MLCCs;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors With Lead-Bearing Finish Termination;Surface Mount;630.0;100 pF;12 nF;C0G (NP0);image\capacitors\45256.png;Datasheet\capacitors\VJ....32 Lead-Bearing Finish MLCCs\VJ....32 Lead-Bearing Finish MLCCs.pdf;
VJ....32 Lead-Bearing Finish MLCCs;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors With Lead-Bearing Finish Termination;Surface Mount;630.0;220 pF;1.0 uF;X7R;image\capacitors\45256.png;Datasheet\capacitors\VJ....32 Lead-Bearing Finish MLCCs\VJ....32 Lead-Bearing Finish MLCCs.pdf;
VJ....32 Lead-Bearing Finish MLCCs;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors With Lead-Bearing Finish Termination;Surface Mount;630.0;390 pF;1.0 uF;X7R;image\capacitors\45256.png;Datasheet\capacitors\VJ....32 Lead-Bearing Finish MLCCs\VJ....32 Lead-Bearing Finish MLCCs.pdf;
