Part Number;Configuration;SingleSupplyMin.;SingleSupplyMax.;DualSupplyMin.;DualSupplyMax.;On-Resistance(Ω);Is(off)Max.;tonMax.;QINJTyp.;XTALK&OIRR;Package;CS(on)(pF);CS(off)(pF);-3 dBBandwidth(MHz);Image path;Datasheet part;3d model part
DG408LE;8:1 x 1;3.0;16.0;3.0;8.0;17.0;1.0;72.0;-11.0;-98.0;TSSOP-16;;5.5;;78084;Datasheet/analog-switches/DG408LE/DG408LE.pdf;
DG408LE;8:1 x 1;3.0;16.0;3.0;8.0;17.0;1.0;72.0;-11.0;-98.0;QFN-16 3x3;;5.5;;78084;Datasheet/analog-switches/DG408LE/DG408LE.pdf;
DG408LE;8:1 x 1;3.0;16.0;3.0;8.0;17.0;1.0;72.0;-11.0;-98.0;SO-16 (Narrow) AS;;5.5;;78084;Datasheet/analog-switches/DG408LE/DG408LE.pdf;
