Part Number;Product Image;Package;VCEO(V);CTR Min.(1)%;CTR Max.(1)%;Forward Current IF(mA);ton/toff(µs);Operating Temperature(°C);Isolation Voltage VISOVRMS;Safety Standard(s);Image path;Datasheet part;3d model part
CNY651 Series;Enlarge;DIP-4 HV;32;50;300.0;5;5, 3;-40 to +110;8200 13 900;UL, VDE;image/optocouplers\82566.png;Datasheet\optocouplers\CNY651 Series\CNY651 Series.pdf;Datasheet\optocouplers\CNY651 Series\CNY651 Series.zip
CNY651 Series;Enlarge;SMD-4 HV;32;50;300.0;5;5, 3;-40 to +110;8200 13 900;UL, VDE;image/optocouplers\82566.png;Datasheet\optocouplers\CNY651 Series\CNY651 Series.pdf;Datasheet\optocouplers\CNY651 Series\CNY651 Series.zip
