Part Number;Product Image;Package;VCEO(V);CTR Min.(1)%;CTR Max.(1)%;Forward Current IF(mA);ton/toff(µs);Operating Temperature(°C);Isolation Voltage VISOVRMS;Safety Standard(s);Image path;Datasheet part;3d model part
H11A1;Enlarge;DIP-6;70;50;;;3, 3;-55 to +100;4420;UL, cUL, VDE, BSI, CQC, CQC, F;image/optocouplers/83730.png;Datasheet/optocouplers/opt-tran-output/H11A1/H11A1.pdf;Datasheet/optocouplers/opt-tran-output/H11A1/H11A1.zip
H11A1;Enlarge;SMD-6;70;50;;;3, 3;-55 to +100;4420;UL, cUL, VDE, BSI, CQC, CQC, F;image/optocouplers/83730.png;Datasheet/optocouplers/opt-tran-output/H11A1/H11A1.pdf;Datasheet/optocouplers/opt-tran-output/H11A1/H11A1.zip
