Series;Product Image;Order Code;Cap (µF);Voltage (V);Form;Case Size;Temp Max (°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
230 EDLC-HV ENYCAP™;Enlarge;MAL223031013E3;10000000;3.0;Radial;Ø10x30;+85 °C;1000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28450.png;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.pdf;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.zip
230 EDLC-HV ENYCAP™;Enlarge;MAL223051011E3;5000000;3.0;Radial;Ø10x20;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28450.png;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.pdf;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.zip
230 EDLC-HV ENYCAP™;Enlarge;MAL223051013E3;10000000;3.0;Radial;Ø10x30;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28450.png;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.pdf;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.zip
230 EDLC-HV ENYCAP™;Enlarge;MAL223031011E3;5000000;3.0;Radial;Ø10x20;+85 °C;1000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28450.png;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.pdf;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.zip
230 EDLC-HV ENYCAP™;Enlarge;MAL223051015E3;12000000;3.0;Radial;Ø12.5x25;+85 °C;1500;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28450.png;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.pdf;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.zip
230 EDLC-HV ENYCAP™;Enlarge;MAL223091008E3;50000000;3.0;Radial;Ø18x35;+85 °C;2000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors\28450.png;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.pdf;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.zip
230 EDLC-HV ENYCAP™;Enlarge;MAL223031015E3;12000000;3.0;Radial;Ø12.5x25;+85 °C;1500;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28450.png;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.pdf;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.zip
230 EDLC-HV ENYCAP™;Enlarge;MAL223031008E3;50000000;3.0;Radial;Ø18x35;+85 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28450.png;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.pdf;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.zip
230 EDLC-HV ENYCAP™;Enlarge;MAL223051016E3;15000000;3.0;Radial;Ø12.5x30;+85 °C;1500;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28450.png;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.pdf;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.zip
230 EDLC-HV ENYCAP™;Enlarge;MAL223051008E3;50000000;3.0;Radial;Ø18x35;+85 °C;2000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28450.png;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.pdf;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.zip
