Series;Product Image;Type;Technology;Description;Mounting;Voltage(V);Capacitance (min.);Capacitance (max.);Dielectric;Image path;Datasheet part;3d model part
VJ HIFREQ Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Frequency Applications;Surface Mount;200.0;0.1 pF;82 pF;D = HIFREQ;image\capacitors\45258.png;Datasheet\capacitors\VJ HIFREQ Series\VJ HIFREQ Series.pdf;Datasheet\capacitors\VJ HIFREQ Series\VJ HIFREQ Series.zip
VJ HIFREQ Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Frequency Applications;Surface Mount;250.0;0.1 pF;1 nF;D = HIFREQ;image\capacitors\45258.png;Datasheet\capacitors\VJ HIFREQ Series\VJ HIFREQ Series.pdf;Datasheet\capacitors\VJ HIFREQ Series\VJ HIFREQ Series.zip
VJ HIFREQ Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Frequency Applications;Surface Mount;250.0;0.1 pF;470 pF;D = HIFREQ;image\capacitors\45258.png;Datasheet\capacitors\VJ HIFREQ Series\VJ HIFREQ Series.pdf;Datasheet\capacitors\VJ HIFREQ Series\VJ HIFREQ Series.zip
VJ HIFREQ Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Frequency Applications;Surface Mount;500.0;0.1 pF;1 nF;D = HIFREQ;image\capacitors\45258.png;Datasheet\capacitors\VJ HIFREQ Series\VJ HIFREQ Series.pdf;Datasheet\capacitors\VJ HIFREQ Series\VJ HIFREQ Series.zip
VJ HIFREQ Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Frequency Applications;Surface Mount;1500.0;0.2 pF;3.3 nF;D = HIFREQ;image\capacitors\45258.png;Datasheet\capacitors\VJ HIFREQ Series\VJ HIFREQ Series.pdf;Datasheet\capacitors\VJ HIFREQ Series\VJ HIFREQ Series.zip
VJ HIFREQ Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Frequency Applications;Surface Mount;3600.0;1 pF;3 nF;D = HIFREQ;image\capacitors\45258.png;Datasheet\capacitors\VJ HIFREQ Series\VJ HIFREQ Series.pdf;Datasheet\capacitors\VJ HIFREQ Series\VJ HIFREQ Series.zip
VJ HIFREQ Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Frequency Applications;Surface Mount;7200.0;1 pF;12 nF;D = HIFREQ;image\capacitors\45258.png;Datasheet\capacitors\VJ HIFREQ Series\VJ HIFREQ Series.pdf;Datasheet\capacitors\VJ HIFREQ Series\VJ HIFREQ Series.zip
