Part Number;Product Image;Package;Reverse WorkingVoltage(V);Capacitance(pF);LeakageCurrent(µA);Peak Pulse Current8/20 µs (*10/1000 µs)acc. IEC 61000-4-5(A);Peak PulsePower 8/20 µsacc. IEC 61000-4-5(W);ProtectableLines;ESD Immunityacc. IEC 61000-4-2(kV);Max. OperatingJunction Temperature(°C);AEC-Q101Qualified;Image path;Datasheet part;3d model part
SMF22A;Enlarge;SMF (DO-219AB);22.0;271.0;0.1;5.6;1000;1;± 30;175;Yes;image/diodes\85881.png;Datasheet\diodes\SMF22A\SMF22A.pdf;Datasheet\diodes\SMF22A\SMF22A.zip
SMF22A;Enlarge;SMF (DO-219AB);22.0;271.0;0.1;5.6;1000;1;± 30;175;Yes;image/diodes\86330.png;Datasheet\diodes\SMF22A\SMF22A.pdf;Datasheet\diodes\SMF22A\SMF22A.zip
