Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size(mm);Image path;Datasheet part;3d model part
T52;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;35.0;100;7.3 x 4.3 x 1.5 (E5);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;16.0;55;7.3 x 6.0 x 2 (M1);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;25.0;70;7.3 x 6.0 x 2 (M1);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;16.0;100;7.3 x 4.3 x 1.5 (E5);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;35.0;100;7.3 x 6.0 x 1.9 (M9);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;20.0;55;7.3 x 4.3 x 1.5 (E5);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;35.0;70;7.3 x 4.3 x 1.5 (E5);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;16.0;40;7.3 x 6.0 x 2 (M1);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;25.0;55;7.3 x 6.0 x 2 (M1);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;16.0;70;7.3 x 4.3 x 1.5 (E5);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;35.0;70;7.3 x 6.0 x 1.9 (M9);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;25.0;100;7.3 x 4.3 x 1.5 (E5);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;35.0;55;7.3 x 4.3 x 1.5 (E5);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;470 µF;16.0;55;7.3 x 6.0 x 2 (M1);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;25.0;100;7.3 x 6.0 x 2 (M1);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;16.0;50;7.3 x 4.3 x 1.5 (E5);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;10.0;55;7.3 x 6.0 x 2 (M1);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;35.0;55;7.3 x 6.0 x 1.9 (M9);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;25.0;70;7.3 x 4.3 x 1.5 (E5);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;35.0;100;7.3 x 6.0 x 2 (M1);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;25.0;70;7.3 x 6.0 x 2 (M1);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;16.0;70;7.3 x 6.0 x 2 (M1);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;25.0;55;7.3 x 4.3 x 1.5 (E5);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;10.0;55;7.3 x 6.0 x 2 (M1);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;35.0;70;7.3 x 6.0 x 2 (M1);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;20.0;100;7.3 x 4.3 x 1.5 (E5);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;25.0;55;7.3 x 6.0 x 2 (M1);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;16.0;55;7.3 x 6.0 x 2 (M1);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;25.0;100;7.3 x 6.0 x 2 (M1);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;16.0;200;3.5 x 2.8 x 1.2 (B2);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;35.0;55;7.3 x 6.0 x 2 (M1);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
T52;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;20.0;70;7.3 x 4.3 x 1.5 (E5);image/capacitors\40216.png;Datasheet\capacitors\T52\T52.pdf;Datasheet\capacitors\T52\T52.zip
