Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size(mm);Image path;Datasheet part;3d model part
T55;Enlarge;Polymer;SMD, molded;SMD, molded;470 µF;4.0;18;;image/capacitors\40174.png;Datasheet\capacitors\T55\T55.pdf;Datasheet\capacitors\T55\T55.zip
T55;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;10.0;70;;image/capacitors\40174.png;Datasheet\capacitors\T55\T55.pdf;Datasheet\capacitors\T55\T55.zip
T55;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;4.0;500;;image/capacitors\40174.png;Datasheet\capacitors\T55\T55.pdf;Datasheet\capacitors\T55\T55.zip
T55;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;6.3;9;;image/capacitors\40174.png;Datasheet\capacitors\T55\T55.pdf;Datasheet\capacitors\T55\T55.zip
T55;Enlarge;Polymer;SMD, molded;SMD, molded;10 µF;35.0;120;;image/capacitors\40174.png;Datasheet\capacitors\T55\T55.pdf;Datasheet\capacitors\T55\T55.zip
T55;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;2.5;55;;image/capacitors\40174.png;Datasheet\capacitors\T55\T55.pdf;Datasheet\capacitors\T55\T55.zip
T55;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;6.3;200;;image/capacitors\40174.png;Datasheet\capacitors\T55\T55.pdf;Datasheet\capacitors\T55\T55.zip
T55;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;10.0;8;;image/capacitors\40174.png;Datasheet\capacitors\T55\T55.pdf;Datasheet\capacitors\T55\T55.zip
T55;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;4.0;45;;image/capacitors\40174.png;Datasheet\capacitors\T55\T55.pdf;Datasheet\capacitors\T55\T55.zip
T55;Enlarge;Polymer;SMD, molded;SMD, molded;6.8 µF;10.0;200;;image/capacitors\40174.png;Datasheet\capacitors\T55\T55.pdf;Datasheet\capacitors\T55\T55.zip
T55;Enlarge;Polymer;SMD, molded;SMD, molded;1 mF;2.5;8;;image/capacitors\40174.png;Datasheet\capacitors\T55\T55.pdf;Datasheet\capacitors\T55\T55.zip
T55;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;6.3;45;;image/capacitors\40174.png;Datasheet\capacitors\T55\T55.pdf;Datasheet\capacitors\T55\T55.zip
