Series;Product Image;Type;Technology;Description;Mounting;Voltage(V);Capacitance (min.);Capacitance (max.);Dielectric;Image path;Datasheet part;3d model part
VJ Non-Magnetic Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Non-Magnetic Applications;Surface Mount;6.3;120 nF;150 nF;X5R;image\capacitors\45227.png;Datasheet\capacitors\VJ Non-Magnetic Series\VJ Non-Magnetic Series.pdf;
VJ Non-Magnetic Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Non-Magnetic Applications;Surface Mount;16.0;27 nF;47 nF;X5R;image\capacitors\45227.png;Datasheet\capacitors\VJ Non-Magnetic Series\VJ Non-Magnetic Series.pdf;
VJ Non-Magnetic Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Non-Magnetic Applications;Surface Mount;100.0;1 pF;180 pF;C0G (NP0);image\capacitors\45227.png;Datasheet\capacitors\VJ Non-Magnetic Series\VJ Non-Magnetic Series.pdf;
VJ Non-Magnetic Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Non-Magnetic Applications;Surface Mount;100.0;100 pF;22 nF;X7R;image\capacitors\45227.png;Datasheet\capacitors\VJ Non-Magnetic Series\VJ Non-Magnetic Series.pdf;
VJ Non-Magnetic Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Non-Magnetic Applications;Surface Mount;100.0;270 pF;100 nF;X7R;image\capacitors\45227.png;Datasheet\capacitors\VJ Non-Magnetic Series\VJ Non-Magnetic Series.pdf;
VJ Non-Magnetic Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Non-Magnetic Applications;Surface Mount;200.0;1 pF;1.5 nF;C0G (NP0);image\capacitors\45227.png;Datasheet\capacitors\VJ Non-Magnetic Series\VJ Non-Magnetic Series.pdf;
VJ Non-Magnetic Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Non-Magnetic Applications;Surface Mount;200.0;390 pF;390 nF;X7R;image\capacitors\45227.png;Datasheet\capacitors\VJ Non-Magnetic Series\VJ Non-Magnetic Series.pdf;
VJ Non-Magnetic Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Non-Magnetic Applications;Surface Mount;500.0;1 pF;3.3 nF;C0G (NP0);image\capacitors\45227.png;Datasheet\capacitors\VJ Non-Magnetic Series\VJ Non-Magnetic Series.pdf;
VJ Non-Magnetic Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Non-Magnetic Applications;Surface Mount;500.0;1 pF;12 nF;C0G (NP0);image\capacitors\45227.png;Datasheet\capacitors\VJ Non-Magnetic Series\VJ Non-Magnetic Series.pdf;
VJ Non-Magnetic Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Non-Magnetic Applications;Surface Mount;500.0;680 pF;1.0 uF;X7R;image\capacitors\45227.png;Datasheet\capacitors\VJ Non-Magnetic Series\VJ Non-Magnetic Series.pdf;
VJ Non-Magnetic Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Non-Magnetic Applications;Surface Mount;500.0;1 nF;1.0 uF;X7R;image\capacitors\45227.png;Datasheet\capacitors\VJ Non-Magnetic Series\VJ Non-Magnetic Series.pdf;
VJ Non-Magnetic Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Non-Magnetic Applications;Surface Mount;500.0;15 nF;6.8 uF;X7R;image\capacitors\45227.png;Datasheet\capacitors\VJ Non-Magnetic Series\VJ Non-Magnetic Series.pdf;
VJ Non-Magnetic Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Non-Magnetic Applications;Surface Mount;600.0;1 pF;10 nF;C0G (NP0);image\capacitors\45227.png;Datasheet\capacitors\VJ Non-Magnetic Series\VJ Non-Magnetic Series.pdf;
VJ Non-Magnetic Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Non-Magnetic Applications;Surface Mount;1000.0;15 pF;33 nF;C0G (NP0);image\capacitors\45227.png;Datasheet\capacitors\VJ Non-Magnetic Series\VJ Non-Magnetic Series.pdf;
VJ Non-Magnetic Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Non-Magnetic Applications;Surface Mount;1000.0;100 pF;33 nF;C0G (NP0);image\capacitors\45227.png;Datasheet\capacitors\VJ Non-Magnetic Series\VJ Non-Magnetic Series.pdf;
VJ Non-Magnetic Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Non-Magnetic Applications;Surface Mount;1000.0;120 pF;39 nF;C0G (NP0);image\capacitors\45227.png;Datasheet\capacitors\VJ Non-Magnetic Series\VJ Non-Magnetic Series.pdf;
