Part Number;Product Image;Rev. Voltage(V);IF(AV)(A);VFat IF(V);IFSM(A);trr(ns);TJmax.(°C);Package (JEDEC®) Code;CircuitConfiguration;Snap factor;AEC-Q101Qualified;Image path;Datasheet part;3d model part
VS-35EPF12L-M3, VS-35APF12L-M3;Enlarge;1200;35;1.27;350.0;95.0;150;TO-247AD 2L;Single;0.6;No;image/diodes/96128.png;Datasheet/diodes/standard-recovery/VS-35EPF12L-M3, VS-35APF12L-M3/VS-35EPF12L-M3, VS-35APF12L-M3.pdf;
VS-35EPF12L-M3, VS-35APF12L-M3;Enlarge;1200;35;1.27;350.0;95.0;150;TO-247AD 3L;Single;0.6;No;image/diodes/96478.png;Datasheet/diodes/standard-recovery/VS-35EPF12L-M3, VS-35APF12L-M3/VS-35EPF12L-M3, VS-35APF12L-M3.pdf;
