Series;Type(V);Display Format;Outline Dimensions(W x H mm);Effective Viewing Area(W x H mm);Character Size(W x H mm);Dot Size(W x H mm);Dot Pitch(W x H mm);Driving Method (Duty);Built-In Controller;Process Color TN;Process Color STN Gray;Process Color STN Yellow;Process Color STN Blue;Process Color STN Color;BL None;BL LED;BL EL;BL CCFL;Image path;Datasheet part;3d model part
LCD-016N002V2;Character;16 x 2 characters;89.0 x 19.6;61.0 x 15.9;2.95 x 5.55;0.55 x 0.55;0.60 x 0.70;1/16;ST 7066 (or equivalent);x;x;x;x;;x;x;;;37400;Datasheet/displays/LCD-016N002V2\LCD-016N002V2.pdf;
LCD-016N002V2;Character;16 x 2 characters;69.0 x 29.2;61.0 x 15.9;3.55 x 5.55;0.55 x 0.65;0.60 x 0.70;1/16;ST 7066 (or equivalent);x;x;x;x;;x;x;x;;37424;Datasheet/displays/LCD-016N002V2\LCD-016N002V2.pdf;
