Series;Product Image;Package (JEDEC®) Code;VRRM(V);IRat VR(nA at V);VFat IF(V at mA);trr(ns);Circuit Configuration;AEC-Q101 Qualified;Image path;Datasheet part;3d model part
MCL4148, MCL4448;Enlarge;MicroMELF;100.0;25 at 20;0.720 at 5;8.0;Single;No;image/diodes\85566.png;Datasheet\diodes\MCL4148, MCL4448\MCL4148, MCL4448.pdf;Datasheet\diodes\MCL4148, MCL4448\MCL4148, MCL4448.zip
MCL4148, MCL4448;Enlarge;MicroMELF;100.0;25 at 20;1 at 50;8.0;Single;No;image/diodes\85566.png;Datasheet\diodes\MCL4148, MCL4448\MCL4148, MCL4448.pdf;Datasheet\diodes\MCL4148, MCL4448\MCL4148, MCL4448.zip
